nodes,scenario,comparison,n_pairs,mean_sla_a,mean_sla_b,mean_diff_a_minus_b,t_stat,p_raw,p_holm,significant_holm
100,Burst Load,DRL_vs_DCBO,20,22.4687,26.5592,-4.0905,-7.3828,0.0,0.0,Yes
100,Burst Load,GNN_vs_DCBO,20,25.2585,26.5592,-1.3007,-4.1962,2.7e-05,0.000297,Yes
100,Burst Load,GNN_vs_DRL,20,25.2585,22.4687,2.7898,5.2925,0.0,0.0,Yes
100,Burst Load,GNN_vs_Vector,20,25.2585,25.1905,0.068,0.1538,0.877748,1.0,No
100,Burst Load,Vector_vs_DCBO,20,25.1905,26.5592,-1.3687,-3.0429,0.002343,0.011715,Yes
100,Burst Load,Vector_vs_DRL,20,25.1905,22.4687,2.7218,3.8945,9.8e-05,0.000882,Yes
100,Churn,DRL_vs_DCBO,20,19.2752,23.1876,-3.9125,-6.2476,0.0,0.0,Yes
100,Churn,GNN_vs_DCBO,20,22.2766,23.1876,-0.9111,-2.8614,0.004217,0.016868,Yes
100,Churn,GNN_vs_DRL,20,22.2766,19.2752,3.0014,5.1272,0.0,0.0,Yes
100,Churn,GNN_vs_Vector,20,22.2766,22.0406,0.236,0.8168,0.414071,1.0,No
100,Churn,Vector_vs_DCBO,20,22.0406,23.1876,-1.1471,-3.3588,0.000783,0.006264,Yes
100,Churn,Vector_vs_DRL,20,22.0406,19.2752,2.7654,3.9224,8.8e-05,0.00088,Yes
100,Normal Load,DRL_vs_DCBO,20,7.7475,11.5008,-3.7532,-7.6187,0.0,0.0,Yes
100,Normal Load,GNN_vs_DCBO,20,10.5604,11.5008,-0.9404,-3.2862,0.001016,0.007112,Yes
100,Normal Load,GNN_vs_DRL,20,10.5604,7.7475,2.8129,6.5849,0.0,0.0,Yes
100,Normal Load,GNN_vs_Vector,20,10.5604,10.7866,-0.2262,-0.7361,0.461678,1.0,No
100,Normal Load,Vector_vs_DCBO,20,10.7866,11.5008,-0.7142,-3.1703,0.001523,0.009138,Yes
100,Normal Load,Vector_vs_DRL,20,10.7866,7.7475,3.0391,5.5213,0.0,0.0,Yes
