method,nodes,scenario,n_trials,sla_mean,sla_std,p95_mean,p95_std,overhead_mean,colonies_mean
Dyna-Bound,100,Burst Load,5,14.141,2.782,307.0,35.625,1142.933,12.2
DynaCol-RL,100,Burst Load,5,14.978,2.257,318.4,22.665,1142.933,12.2
DynaCol/DCBO,100,Burst Load,5,14.782,2.695,315.7,24.209,1142.933,12.2
Dyna-Bound,100,Churn,5,14.712,2.879,290.22,29.496,1148.8,12.2
DynaCol-RL,100,Churn,5,15.581,2.333,299.822,18.476,1148.8,12.2
DynaCol/DCBO,100,Churn,5,15.372,2.781,296.62,19.718,1148.8,12.2
Dyna-Bound,100,Normal Load,5,12.241,1.825,270.62,19.308,1213.333,11.0
DynaCol-RL,100,Normal Load,5,12.241,1.825,270.62,19.308,1213.333,11.0
DynaCol/DCBO,100,Normal Load,5,13.308,4.126,275.62,38.888,1213.333,11.0
Dyna-Bound,300,Burst Load,5,0.457,1.022,8.02,0.447,1028.93,21.6
DynaCol-RL,300,Burst Load,5,0.457,1.022,8.02,0.447,1028.93,21.6
DynaCol/DCBO,300,Burst Load,5,0.479,1.072,8.02,0.447,1028.93,21.6
Dyna-Bound,300,Churn,5,0.485,1.051,7.22,0.0,1203.287,23.4
DynaCol-RL,300,Churn,5,0.511,1.037,7.22,0.0,1203.287,23.4
DynaCol/DCBO,300,Churn,5,0.496,1.109,7.22,0.0,1203.287,23.4
Dyna-Bound,300,Normal Load,5,0.461,1.03,7.22,0.0,1026.162,21.2
DynaCol-RL,300,Normal Load,5,0.461,1.03,7.22,0.0,1026.162,21.2
DynaCol/DCBO,300,Normal Load,5,0.483,1.08,7.22,0.0,1026.162,21.2
Dyna-Bound,500,Burst Load,5,0.848,1.252,7.62,0.548,1163.768,35.0
DynaCol-RL,500,Burst Load,5,0.848,1.252,7.62,0.548,1163.664,35.0
DynaCol/DCBO,500,Burst Load,5,0.566,0.774,7.62,0.548,1164.852,35.0
Dyna-Bound,500,Churn,5,0.923,1.261,7.22,0.0,1312.878,35.8
DynaCol-RL,500,Churn,5,0.993,1.205,7.22,0.0,1312.878,35.8
DynaCol/DCBO,500,Churn,5,0.586,0.803,7.22,0.0,1312.878,35.8
Dyna-Bound,500,Normal Load,5,0.306,0.419,7.22,0.0,1405.213,34.0
DynaCol-RL,500,Normal Load,5,0.306,0.419,7.22,0.0,1405.213,34.0
DynaCol/DCBO,500,Normal Load,5,0.57,0.781,7.22,0.0,1412.284,34.0
