method,nodes,scenario,n_trials,sla_mean,sla_std,p95_mean,p95_std,overhead_mean,colonies_mean
Dyna-Bound,100,Burst Load,5,14.016,3.738,301.95,46.27,1142.933,12.2
DynaCol-RL,100,Burst Load,5,14.016,3.738,301.95,46.27,1142.933,12.2
DynaCol/DCBO,100,Burst Load,5,14.782,2.695,315.7,24.209,1142.933,12.2
Dyna-Bound,100,Churn,5,14.577,3.863,284.62,39.253,1148.8,12.2
DynaCol-RL,100,Churn,5,14.577,3.863,284.62,39.253,1148.8,12.2
DynaCol/DCBO,100,Churn,5,15.372,2.781,296.62,19.718,1148.8,12.2
Dyna-Bound,100,Normal Load,5,11.506,1.492,261.62,16.025,1213.333,11.0
DynaCol-RL,100,Normal Load,5,11.506,1.492,261.62,16.025,1213.333,11.0
DynaCol/DCBO,100,Normal Load,5,13.308,4.126,275.62,38.888,1213.333,11.0
Dyna-Bound,300,Burst Load,5,0.479,1.072,8.02,0.447,1028.93,21.6
DynaCol-RL,300,Burst Load,5,0.479,1.072,8.02,0.447,1028.93,21.6
DynaCol/DCBO,300,Burst Load,5,0.479,1.072,8.02,0.447,1028.93,21.6
Dyna-Bound,300,Churn,5,0.507,1.103,7.22,0.0,1203.287,23.4
DynaCol-RL,300,Churn,5,0.507,1.103,7.22,0.0,1203.287,23.4
DynaCol/DCBO,300,Churn,5,0.496,1.109,7.22,0.0,1203.287,23.4
Dyna-Bound,300,Normal Load,5,0.483,1.08,7.22,0.0,1026.162,21.2
DynaCol-RL,300,Normal Load,5,0.483,1.08,7.22,0.0,1026.162,21.2
DynaCol/DCBO,300,Normal Load,5,0.483,1.08,7.22,0.0,1026.162,21.2
Dyna-Bound,500,Burst Load,5,0.566,0.774,7.62,0.548,1164.852,35.0
DynaCol-RL,500,Burst Load,5,0.566,0.774,7.62,0.548,1164.852,35.0
DynaCol/DCBO,500,Burst Load,5,0.566,0.774,7.62,0.548,1164.852,35.0
Dyna-Bound,500,Churn,5,0.586,0.803,7.22,0.0,1312.878,35.8
DynaCol-RL,500,Churn,5,0.586,0.803,7.22,0.0,1312.878,35.8
DynaCol/DCBO,500,Churn,5,0.586,0.803,7.22,0.0,1312.878,35.8
Dyna-Bound,500,Normal Load,5,0.57,0.781,7.22,0.0,1412.284,34.0
DynaCol-RL,500,Normal Load,5,0.57,0.781,7.22,0.0,1412.697,34.0
DynaCol/DCBO,500,Normal Load,5,0.57,0.781,7.22,0.0,1412.284,34.0
