method,nodes,scenario,n_trials,sla_mean,sla_std,p95_mean,p95_std,overhead_mean,colonies_mean
DynaCol-GNN,100,Burst Load,5,24.393,2.388,765.25,35.051,1768.533,7.6
DynaCol-RL,100,Burst Load,5,24.094,1.751,764.888,32.116,1768.533,7.6
DynaCol/DCBO,100,Burst Load,5,26.42,2.699,767.942,34.995,1768.533,7.6
DynaCol-GNN,100,Churn,5,21.148,2.041,765.345,29.184,1774.4,7.6
DynaCol-RL,100,Churn,5,21.133,1.334,761.889,33.383,1774.4,7.6
DynaCol/DCBO,100,Churn,5,23.035,3.26,761.507,37.48,1774.4,7.6
DynaCol-GNN,100,Normal Load,5,10.343,2.026,764.518,29.115,1768.533,7.6
DynaCol-RL,100,Normal Load,5,10.251,1.706,768.226,26.545,1768.533,7.6
DynaCol/DCBO,100,Normal Load,5,11.207,2.764,765.21,40.949,1768.533,7.6
DynaCol-GNN,300,Burst Load,5,16.693,1.861,889.513,41.467,1793.816,20.8
DynaCol-RL,300,Burst Load,5,16.453,1.738,884.719,41.6,1793.816,20.8
DynaCol/DCBO,300,Burst Load,5,16.942,2.251,888.951,42.523,1793.816,20.8
DynaCol-GNN,300,Churn,5,13.438,2.107,887.395,42.435,2145.816,21.2
DynaCol-RL,300,Churn,5,13.444,1.992,883.695,43.892,2145.816,21.2
DynaCol/DCBO,300,Churn,5,13.965,2.634,888.697,47.167,2145.816,21.2
DynaCol-GNN,300,Normal Load,5,4.198,1.811,887.436,40.203,1793.816,20.8
DynaCol-RL,300,Normal Load,5,4.061,1.678,886.178,44.512,1793.816,20.8
DynaCol/DCBO,300,Normal Load,5,4.128,2.032,888.042,46.707,1793.816,20.8
