method,nodes,scenario,n_trials,sla_mean,sla_std,p95_mean,p95_std,overhead_mean,colonies_mean
DynaCol-GNN,100,Burst Load,5,24.197,1.574,764.33,32.361,1768.533,7.6
DynaCol-RL,100,Burst Load,5,24.119,1.708,768.493,26.175,1768.533,7.6
DynaCol/DCBO,100,Burst Load,5,26.64,2.342,771.975,32.948,1768.533,7.6
DynaCol-GNN,100,Churn,5,21.45,1.933,761.821,34.503,1774.4,7.6
DynaCol-RL,100,Churn,5,20.617,1.436,762.926,27.017,1774.4,7.6
DynaCol/DCBO,100,Churn,5,22.828,2.407,765.877,36.942,1774.4,7.6
DynaCol-GNN,100,Normal Load,5,10.538,2.188,763.067,29.884,1768.533,7.6
DynaCol-RL,100,Normal Load,5,10.063,2.277,764.527,30.899,1768.533,7.6
DynaCol/DCBO,100,Normal Load,5,11.07,3.158,762.547,39.417,1768.533,7.6
DynaCol-GNN,300,Burst Load,5,17.003,2.333,888.902,42.651,1793.816,20.8
DynaCol-RL,300,Burst Load,5,16.504,1.691,883.668,41.279,1793.816,20.8
DynaCol/DCBO,300,Burst Load,5,16.777,2.183,891.73,48.071,1793.816,20.8
DynaCol-GNN,300,Churn,5,13.826,2.261,891.16,45.321,2145.816,21.2
DynaCol-RL,300,Churn,5,13.54,1.872,880.309,34.351,2145.816,21.2
DynaCol/DCBO,300,Churn,5,13.737,2.45,885.798,44.692,2145.816,21.2
DynaCol-GNN,300,Normal Load,5,4.298,1.697,890.697,44.382,1793.816,20.8
DynaCol-RL,300,Normal Load,5,4.125,1.589,886.355,43.809,1793.816,20.8
DynaCol/DCBO,300,Normal Load,5,4.126,2.055,889.132,48.891,1793.816,20.8
