method,nodes,scenario,n_trials,sla_mean,sla_std,p95_mean,p95_std,overhead_mean,colonies_mean
DRL-based,100,Burst Load,20,22.469,1.612,729.296,17.954,1500.733,7.65
Dyna-Bound,100,Burst Load,20,25.259,2.411,762.327,30.529,1770.467,7.65
DynaCol-RL,100,Burst Load,20,25.191,2.797,765.564,30.894,1770.467,7.65
DynaCol/DCBO,100,Burst Load,20,26.559,2.516,770.848,31.423,1770.467,7.65
DRL-based,100,Churn,20,19.275,1.929,727.124,22.349,1500.733,7.65
Dyna-Bound,100,Churn,20,22.277,2.443,756.434,30.832,1774.867,7.65
DynaCol-RL,100,Churn,20,22.041,2.563,764.596,31.194,1774.867,7.65
DynaCol/DCBO,100,Churn,20,23.188,2.588,767.129,34.296,1774.867,7.65
DRL-based,100,Normal Load,20,7.747,1.864,724.74,21.596,1500.733,7.65
Dyna-Bound,100,Normal Load,20,10.56,2.214,759.082,29.424,1770.467,7.65
DynaCol-RL,100,Normal Load,20,10.787,2.36,763.834,32.537,1770.467,7.65
DynaCol/DCBO,100,Normal Load,20,11.501,2.459,768.287,31.496,1770.467,7.65
