method,policy,nodes,scenario,trial,seed,p95_ms,mean_loop_ms,sla_pct,overhead_norm,control_messages,colonies,variant,mean_energy_per_req,total_cost
DynaCol-GNN,COLONY_GNN,100,Normal Load,1,159,299.220,42.192,15.165,1213.333,304,11,,838.208260,213368.640000
DynaCol-GNN,COLONY_GNN,100,Normal Load,2,176,257.220,31.990,11.042,1213.333,304,11,,813.757526,212170.480000
DynaCol-GNN,COLONY_GNN,100,Normal Load,3,193,257.220,32.201,11.040,1213.333,304,11,,813.709737,214941.380000
DynaCol-GNN,COLONY_GNN,100,Normal Load,4,210,257.220,32.095,11.041,1213.333,304,11,,813.812087,212322.680000
DynaCol-GNN,COLONY_GNN,100,Normal Load,5,227,282.220,36.411,12.917,1213.333,304,11,,951.769275,213103.760000
DynaCol-GNN,COLONY_GNN,100,Burst Load,1,159,331.220,47.047,16.288,1181.333,298,14,,916.288533,291637.960000
DynaCol-GNN,COLONY_GNN,100,Burst Load,2,176,248.220,30.809,9.865,1117.333,286,11,,1109.598481,290913.080000
DynaCol-GNN,COLONY_GNN,100,Burst Load,3,193,298.120,38.577,12.817,1117.333,286,11,,961.428245,293159.440000
DynaCol-GNN,COLONY_GNN,100,Burst Load,4,210,331.220,47.047,16.288,1181.333,298,14,,918.819941,302588.640000
DynaCol-GNN,COLONY_GNN,100,Burst Load,5,227,326.220,44.696,15.445,1117.333,286,11,,1161.115402,302091.120000
DynaCol-GNN,COLONY_GNN,100,Churn,1,159,312.220,45.235,16.932,1189.333,300,14,,900.972448,196275.960000
DynaCol-GNN,COLONY_GNN,100,Churn,2,176,242.220,29.529,10.288,1117.333,286,11,,1094.561539,200544.200000
DynaCol-GNN,COLONY_GNN,100,Churn,3,193,282.220,36.902,13.340,1130.667,289,11,,946.530943,197703.400000
DynaCol-GNN,COLONY_GNN,100,Churn,4,210,312.220,45.235,16.932,1189.333,300,14,,903.525484,202443.680000
DynaCol-GNN,COLONY_GNN,100,Churn,5,227,302.220,43.081,16.069,1117.333,286,11,,1142.664284,206277.640000
DynaCol-GNN,COLONY_GNN,300,Normal Load,1,359,7.220,4.467,0.000,1023.135,828,21,,1677.127842,545879.680000
DynaCol-GNN,COLONY_GNN,300,Normal Load,2,376,7.220,5.211,0.000,1023.135,828,21,,849.949421,698292.280000
DynaCol-GNN,COLONY_GNN,300,Normal Load,3,393,7.220,11.466,2.303,1038.270,837,22,,1551.622291,553487.920000
DynaCol-GNN,COLONY_GNN,300,Normal Load,4,410,7.220,4.467,0.000,1023.135,828,21,,1675.596170,559252.480000
DynaCol-GNN,COLONY_GNN,300,Normal Load,5,427,7.220,5.230,0.000,1023.135,828,21,,874.115002,724545.440000
DynaCol-GNN,COLONY_GNN,300,Burst Load,1,359,8.220,5.465,0.000,1030.054,832,22,,1107.302268,1059239.680000
DynaCol-GNN,COLONY_GNN,300,Burst Load,2,376,8.220,5.881,0.000,1023.135,828,21,,857.065964,1044744.880000
DynaCol-GNN,COLONY_GNN,300,Burst Load,3,393,7.220,11.724,2.286,1038.270,837,22,,1565.123003,883885.320000
DynaCol-GNN,COLONY_GNN,300,Burst Load,4,410,8.220,5.465,0.000,1030.054,832,22,,1108.263608,1065956.840000
DynaCol-GNN,COLONY_GNN,300,Burst Load,5,427,8.220,5.918,0.000,1023.135,828,21,,881.405778,1072180.440000
DynaCol-GNN,COLONY_GNN,300,Churn,1,359,7.220,4.995,0.000,1209.514,990,24,,1098.627274,712830.080000
DynaCol-GNN,COLONY_GNN,300,Churn,2,376,7.220,5.210,0.000,1196.541,981,23,,849.970563,741374.680000
DynaCol-GNN,COLONY_GNN,300,Churn,3,393,7.220,11.466,2.364,1219.027,996,21,,1551.622291,539421.240000
DynaCol-GNN,COLONY_GNN,300,Churn,4,410,7.220,4.963,0.000,1199.135,982,25,,1134.195856,710540.320000
DynaCol-GNN,COLONY_GNN,300,Churn,5,427,7.220,5.768,0.062,1192.216,978,24,,873.572372,748948.080000
DynaCol-GNN,COLONY_GNN,500,Normal Load,1,559,7.220,5.148,0.000,1406.452,1842,34,,959.198504,1329250.900000
DynaCol-GNN,COLONY_GNN,500,Normal Load,2,576,7.220,7.833,0.752,1404.645,1843,34,,865.110292,1370779.960000
DynaCol-GNN,COLONY_GNN,500,Normal Load,3,593,7.220,5.176,0.000,1405.419,1842,34,,899.312424,1349618.040000
DynaCol-GNN,COLONY_GNN,500,Normal Load,4,610,7.220,5.137,0.000,1404.903,1842,34,,944.780423,1362903.520000
DynaCol-GNN,COLONY_GNN,500,Normal Load,5,627,7.220,7.892,0.776,1404.645,1843,34,,892.308069,1375267.320000
DynaCol-GNN,COLONY_GNN,500,Burst Load,1,559,8.220,5.910,0.000,1142.194,1586,35,,878.764486,2007522.000000
DynaCol-GNN,COLONY_GNN,500,Burst Load,2,576,7.220,9.695,1.456,1158.968,1595,35,,1677.967997,1789586.440000
DynaCol-GNN,COLONY_GNN,500,Burst Load,3,593,7.220,4.534,0.000,1217.548,1651,35,,1652.501838,1716391.160000
DynaCol-GNN,COLONY_GNN,500,Burst Load,4,610,8.220,5.910,0.000,1140.645,1586,35,,880.187679,2039128.900000
DynaCol-GNN,COLONY_GNN,500,Burst Load,5,627,7.220,14.552,2.782,1159.484,1595,35,,1601.193588,1712212.320000
DynaCol-GNN,COLONY_GNN,500,Churn,1,559,7.220,6.408,0.109,1226.581,1672,38,,872.177166,1489243.600000
DynaCol-GNN,COLONY_GNN,500,Churn,2,576,7.220,9.624,1.510,1333.935,1775,35,,1669.750024,1118320.200000
DynaCol-GNN,COLONY_GNN,500,Churn,3,593,7.220,4.953,0.000,1466.323,1906,34,,1147.620703,1194440.200000
DynaCol-GNN,COLONY_GNN,500,Churn,4,610,7.220,6.444,0.113,1210.065,1651,38,,873.004768,1499538.860000
DynaCol-GNN,COLONY_GNN,500,Churn,5,627,7.220,14.353,2.883,1327.484,1766,34,,1592.307342,1107867.200000
