method,policy,nodes,scenario,trial,seed,p95_ms,mean_loop_ms,sla_pct,overhead_norm,control_messages,colonies,variant,mean_energy_per_req,total_cost
DynaCol-RL,COLONY_RL,100,Normal Load,1,159,299.220,42.192,15.165,1213.333,304,11,,838.208260,213270.960000
DynaCol-RL,COLONY_RL,100,Normal Load,2,176,257.220,31.990,11.042,1213.333,304,11,,813.757526,219313.280000
DynaCol-RL,COLONY_RL,100,Normal Load,3,193,257.220,32.201,11.040,1213.333,304,11,,813.709737,216914.100000
DynaCol-RL,COLONY_RL,100,Normal Load,4,210,257.220,32.095,11.041,1213.333,304,11,,813.812087,214035.760000
DynaCol-RL,COLONY_RL,100,Normal Load,5,227,282.220,36.411,12.917,1213.333,304,11,,951.769275,211924.080000
DynaCol-RL,COLONY_RL,100,Burst Load,1,159,331.220,47.047,16.288,1181.333,298,14,,916.288533,296450.440000
DynaCol-RL,COLONY_RL,100,Burst Load,2,176,290.220,36.570,12.282,1117.333,286,11,,1388.433756,313884.240000
DynaCol-RL,COLONY_RL,100,Burst Load,3,193,298.120,38.577,12.817,1117.333,286,11,,961.428245,293499.040000
DynaCol-RL,COLONY_RL,100,Burst Load,4,210,331.220,47.047,16.288,1181.333,298,14,,918.819941,302126.400000
DynaCol-RL,COLONY_RL,100,Burst Load,5,227,341.220,48.978,17.214,1117.333,286,11,,1297.277769,311411.320000
DynaCol-RL,COLONY_RL,100,Churn,1,159,312.220,45.235,16.932,1189.333,300,14,,900.972448,194647.920000
DynaCol-RL,COLONY_RL,100,Churn,2,176,277.220,35.289,12.801,1117.333,286,11,,1368.918222,216544.720000
DynaCol-RL,COLONY_RL,100,Churn,3,193,282.220,36.902,13.340,1130.667,289,11,,946.530943,198528.000000
DynaCol-RL,COLONY_RL,100,Churn,4,210,312.220,45.235,16.932,1189.333,300,14,,903.525484,203472.000000
DynaCol-RL,COLONY_RL,100,Churn,5,227,315.230,47.308,17.898,1117.333,286,11,,1276.008611,217327.200000
DynaCol-RL,COLONY_RL,300,Normal Load,1,359,7.220,4.467,0.000,1023.135,828,21,,1677.127842,546933.240000
DynaCol-RL,COLONY_RL,300,Normal Load,2,376,7.220,5.171,0.000,1023.135,828,21,,894.669144,695639.640000
DynaCol-RL,COLONY_RL,300,Normal Load,3,393,7.220,11.466,2.303,1038.270,837,22,,1551.622291,553806.840000
DynaCol-RL,COLONY_RL,300,Normal Load,4,410,7.220,4.467,0.000,1023.135,828,21,,1675.596170,550528.280000
DynaCol-RL,COLONY_RL,300,Normal Load,5,427,7.220,5.191,0.000,1023.135,828,21,,921.349697,724257.440000
DynaCol-RL,COLONY_RL,300,Burst Load,1,359,8.220,5.297,0.000,1030.054,832,22,,1271.110228,1064923.740000
DynaCol-RL,COLONY_RL,300,Burst Load,2,376,8.220,5.845,0.000,1023.135,828,21,,879.001995,1046593.640000
DynaCol-RL,COLONY_RL,300,Burst Load,3,393,7.220,11.724,2.286,1038.270,837,22,,1565.123003,923195.120000
DynaCol-RL,COLONY_RL,300,Burst Load,4,410,8.220,5.465,0.000,1030.054,832,22,,1108.311502,1064643.240000
DynaCol-RL,COLONY_RL,300,Burst Load,5,427,8.220,5.881,0.000,1023.135,828,21,,904.559532,1064002.240000
DynaCol-RL,COLONY_RL,300,Churn,1,359,7.220,4.868,0.000,1209.514,990,24,,1309.852310,710104.260000
DynaCol-RL,COLONY_RL,300,Churn,2,376,7.220,5.731,0.062,1196.541,981,23,,871.239967,728524.040000
DynaCol-RL,COLONY_RL,300,Churn,3,393,7.220,11.466,2.364,1219.027,996,21,,1551.622291,541029.040000
DynaCol-RL,COLONY_RL,300,Churn,4,410,7.220,4.963,0.000,1199.135,982,25,,1134.227840,699522.240000
DynaCol-RL,COLONY_RL,300,Churn,5,427,7.220,6.311,0.127,1192.216,978,24,,896.015968,742287.680000
DynaCol-RL,COLONY_RL,500,Normal Load,1,559,7.220,5.063,0.000,1406.452,1842,34,,1028.958754,1325114.160000
DynaCol-RL,COLONY_RL,500,Normal Load,2,576,7.220,7.833,0.752,1404.645,1843,34,,865.110292,1368253.680000
DynaCol-RL,COLONY_RL,500,Normal Load,3,593,7.220,5.176,0.000,1405.419,1842,34,,899.312424,1345983.160000
DynaCol-RL,COLONY_RL,500,Normal Load,4,610,7.220,5.078,0.000,1404.903,1842,34,,1012.254631,1353712.600000
DynaCol-RL,COLONY_RL,500,Normal Load,5,627,7.220,7.892,0.776,1404.645,1843,34,,892.308069,1371724.960000
DynaCol-RL,COLONY_RL,500,Burst Load,1,559,8.220,5.865,0.000,1141.677,1586,35,,907.104767,2021392.240000
DynaCol-RL,COLONY_RL,500,Burst Load,2,576,7.220,9.695,1.456,1158.968,1595,35,,1677.967997,1758353.960000
DynaCol-RL,COLONY_RL,500,Burst Load,3,593,7.220,4.534,0.000,1217.548,1651,35,,1652.501838,1710279.160000
DynaCol-RL,COLONY_RL,500,Burst Load,4,610,8.220,5.865,0.000,1140.645,1586,35,,908.087042,2032166.180000
DynaCol-RL,COLONY_RL,500,Burst Load,5,627,7.220,14.552,2.782,1159.484,1595,35,,1601.193588,1703921.200000
DynaCol-RL,COLONY_RL,500,Churn,1,559,7.220,8.291,0.286,1226.581,1672,38,,912.748883,1493754.480000
DynaCol-RL,COLONY_RL,500,Churn,2,576,7.220,9.624,1.510,1333.935,1775,35,,1669.750024,1093860.840000
DynaCol-RL,COLONY_RL,500,Churn,3,593,7.220,5.527,0.050,1466.323,1906,34,,1145.696078,1234981.960000
DynaCol-RL,COLONY_RL,500,Churn,4,610,7.220,7.740,0.234,1210.065,1651,38,,899.651855,1500478.100000
