method,policy,nodes,scenario,trial,seed,p95_ms,mean_loop_ms,sla_pct,overhead_norm,control_messages,colonies,variant,mean_energy_per_req,total_cost
FogPlan-MinCost,FOGPLAN_MIN_COST,100,Normal Load,1,159,729.738,388.899,8.646,253.333,76,1,,5984.981748,541073.422506
FogPlan-MinCost,FOGPLAN_MIN_COST,100,Normal Load,2,176,722.420,388.940,7.933,253.333,76,1,,5880.151908,546809.286797
FogPlan-MinCost,FOGPLAN_MIN_COST,100,Normal Load,3,193,732.420,394.431,8.698,253.333,76,1,,5891.349368,540600.738004
FogPlan-MinCost,FOGPLAN_MIN_COST,100,Normal Load,4,210,722.420,387.604,7.837,253.333,76,1,,5902.430276,534882.138005
FogPlan-MinCost,FOGPLAN_MIN_COST,100,Normal Load,5,227,727.420,386.123,8.292,253.333,76,1,,5825.519397,547922.761875
FogPlan-MinCost,FOGPLAN_MIN_COST,100,Burst Load,1,159,735.051,392.417,21.869,253.333,76,1,,6014.124442,628075.160510
FogPlan-MinCost,FOGPLAN_MIN_COST,100,Burst Load,2,176,730.670,398.919,23.338,253.333,76,1,,6292.342698,646859.433668
FogPlan-MinCost,FOGPLAN_MIN_COST,100,Burst Load,3,193,729.720,394.009,22.494,253.333,76,1,,6048.038678,634240.560000
FogPlan-MinCost,FOGPLAN_MIN_COST,100,Burst Load,4,210,735.420,404.081,24.854,253.333,76,1,,6280.201516,629789.813323
FogPlan-MinCost,FOGPLAN_MIN_COST,100,Burst Load,5,227,732.020,393.743,23.653,253.333,76,1,,5976.693814,642257.920000
FogPlan-MinCost,FOGPLAN_MIN_COST,100,Churn,1,159,728.920,393.141,19.326,253.333,76,1,,5984.981748,534752.818005
FogPlan-MinCost,FOGPLAN_MIN_COST,100,Churn,2,176,732.820,397.671,20.242,253.333,76,1,,5992.469263,546203.861875
FogPlan-MinCost,FOGPLAN_MIN_COST,100,Churn,3,193,744.220,395.946,20.756,253.333,76,1,,6030.990577,544878.378005
FogPlan-MinCost,FOGPLAN_MIN_COST,100,Churn,4,210,724.420,388.842,19.263,253.333,76,1,,5984.981748,534770.509257
FogPlan-MinCost,FOGPLAN_MIN_COST,100,Churn,5,227,728.620,393.591,19.786,253.333,76,1,,5932.057500,551716.043376
