method,policy,nodes,scenario,trial,seed,p95_ms,mean_loop_ms,sla_pct,overhead_norm,control_messages,colonies,variant,mean_energy_per_req,total_cost
Greedy-Nearest,GREEDY_NEAREST,100,Normal Load,1,159,717.420,388.318,7.200,648.000,200,1,,5793.462332,247418.560000
Greedy-Nearest,GREEDY_NEAREST,100,Normal Load,2,176,712.420,383.850,6.952,672.000,206,1,,4921.263089,253629.040000
Greedy-Nearest,GREEDY_NEAREST,100,Normal Load,3,193,728.420,390.594,8.011,656.000,202,1,,5201.312867,248564.480000
Greedy-Nearest,GREEDY_NEAREST,100,Normal Load,4,210,717.420,385.729,7.541,648.000,200,1,,5966.017928,249480.080000
Greedy-Nearest,GREEDY_NEAREST,100,Normal Load,5,227,713.430,390.346,6.875,672.000,206,1,,4903.320984,256592.840000
Greedy-Nearest,GREEDY_NEAREST,100,Burst Load,1,159,719.420,388.894,23.019,648.000,200,1,,6070.861465,341962.760000
Greedy-Nearest,GREEDY_NEAREST,100,Burst Load,2,176,724.420,386.760,22.222,672.000,206,1,,5011.770369,346681.240000
Greedy-Nearest,GREEDY_NEAREST,100,Burst Load,3,193,729.970,396.783,24.371,656.000,202,1,,5522.122271,346011.440000
Greedy-Nearest,GREEDY_NEAREST,100,Burst Load,4,210,724.420,390.764,22.520,648.000,200,1,,6300.698257,341985.280000
Greedy-Nearest,GREEDY_NEAREST,100,Burst Load,5,227,719.270,383.974,21.031,672.000,206,1,,4975.602954,351996.640000
Greedy-Nearest,GREEDY_NEAREST,100,Churn,1,159,722.420,386.030,19.695,648.000,200,1,,5981.179346,246893.320000
Greedy-Nearest,GREEDY_NEAREST,100,Churn,2,176,718.420,382.680,18.466,672.000,206,1,,4981.151476,256508.280000
Greedy-Nearest,GREEDY_NEAREST,100,Churn,3,193,722.520,388.642,19.978,656.000,202,1,,5238.940618,248848.280000
Greedy-Nearest,GREEDY_NEAREST,100,Churn,4,210,722.420,383.727,19.085,648.000,200,1,,6153.187118,251620.360000
Greedy-Nearest,GREEDY_NEAREST,100,Churn,5,227,722.420,388.014,19.626,672.000,206,1,,5034.425824,255014.880000
