method,policy,nodes,scenario,trial,seed,p95_ms,mean_loop_ms,sla_pct,overhead_norm,control_messages,colonies,variant,mean_energy_per_req,total_cost
Static-DCBO,STATIC_DCBO,100,Normal Load,1,159,753.788,422.366,10.190,760.000,228,19,,3647.569272,666943.960000
Static-DCBO,STATIC_DCBO,100,Normal Load,2,176,722.420,374.350,7.217,760.000,228,19,,2563.827966,669451.960000
Static-DCBO,STATIC_DCBO,100,Normal Load,3,193,755.557,419.361,11.032,760.000,228,19,,3532.598983,669135.000000
Static-DCBO,STATIC_DCBO,100,Normal Load,4,210,750.480,417.948,9.980,760.000,228,19,,3713.757905,666948.440000
Static-DCBO,STATIC_DCBO,100,Normal Load,5,227,736.925,375.473,7.838,760.000,228,19,,2579.988021,669465.400000
Static-DCBO,STATIC_DCBO,100,Burst Load,1,159,754.530,419.718,24.736,760.000,228,19,,3927.042201,761187.480000
Static-DCBO,STATIC_DCBO,100,Burst Load,2,176,729.420,379.075,16.744,760.000,228,19,,2628.007005,763713.400000
Static-DCBO,STATIC_DCBO,100,Burst Load,3,193,752.660,410.844,24.684,760.000,228,19,,3593.696847,763383.000000
Static-DCBO,STATIC_DCBO,100,Burst Load,4,210,757.100,427.502,26.024,760.000,228,19,,3498.611718,761191.960000
Static-DCBO,STATIC_DCBO,100,Burst Load,5,227,724.420,372.550,15.861,760.000,228,19,,2608.124758,763713.400000
Static-DCBO,STATIC_DCBO,100,Churn,1,159,753.970,419.145,21.693,760.000,228,19,,3673.186223,666939.480000
Static-DCBO,STATIC_DCBO,100,Churn,2,176,724.420,373.010,14.415,760.000,228,19,,2579.988021,669474.360000
Static-DCBO,STATIC_DCBO,100,Churn,3,193,755.522,415.269,22.428,760.000,228,19,,3627.890671,669143.960000
Static-DCBO,STATIC_DCBO,100,Churn,4,210,753.660,424.370,22.803,760.000,228,19,,3391.345926,666961.880000
Static-DCBO,STATIC_DCBO,100,Churn,5,227,720.553,370.716,13.769,760.000,228,19,,2541.678264,669460.920000
