method,policy,nodes,scenario,trial,seed,p95_ms,mean_loop_ms,sla_pct,overhead_norm,control_messages,colonies,variant,mean_energy_per_req,total_cost
DynaCol-GNN,COLONY_GNN,100,Normal Load,1,159,772.260,428.746,12.063,1745.333,461,7,,3390.124699,667269.880000
DynaCol-GNN,COLONY_GNN,100,Normal Load,2,176,722.420,395.186,8.098,1784.000,468,8,,5221.506539,553712.905715
DynaCol-GNN,COLONY_GNN,100,Normal Load,3,193,763.520,401.199,9.818,1784.000,468,8,,4508.800905,552668.778550
DynaCol-GNN,COLONY_GNN,100,Normal Load,4,210,792.040,435.124,13.161,1745.333,461,7,,3859.932878,667265.400000
DynaCol-GNN,COLONY_GNN,100,Normal Load,5,227,722.620,399.589,7.911,1784.000,468,8,,5244.777877,604595.855335
DynaCol-GNN,COLONY_GNN,100,Burst Load,1,159,773.372,423.886,25.878,1745.333,461,7,,3533.188042,761499.960000
DynaCol-GNN,COLONY_GNN,100,Burst Load,2,176,729.420,400.916,23.059,1784.000,468,8,,5468.934691,657071.186162
DynaCol-GNN,COLONY_GNN,100,Burst Load,3,193,768.570,409.497,25.000,1784.000,468,8,,4694.878273,634528.093058
DynaCol-GNN,COLONY_GNN,100,Burst Load,4,210,793.640,436.016,28.217,1745.333,461,7,,3993.657315,761517.880000
DynaCol-GNN,COLONY_GNN,100,Burst Load,5,227,725.321,404.200,24.127,1784.000,468,8,,5186.818769,694200.470135
DynaCol-GNN,COLONY_GNN,100,Churn,1,159,769.250,426.076,23.565,1753.333,463,7,,3532.598983,667256.440000
DynaCol-GNN,COLONY_GNN,100,Churn,2,176,732.019,408.182,21.540,1784.000,468,8,,5069.669515,550994.225916
DynaCol-GNN,COLONY_GNN,100,Churn,3,193,777.420,409.507,22.835,1797.333,471,8,,4554.608752,558282.026451
DynaCol-GNN,COLONY_GNN,100,Churn,4,210,793.512,435.849,25.293,1753.333,463,7,,3942.368631,667260.920000
DynaCol-GNN,COLONY_GNN,100,Churn,5,227,725.893,396.793,19.945,1784.000,468,8,,5158.562351,590857.348059
DynaCol-GNN,COLONY_GNN,100,Normal Load,1,159,771.430,423.805,11.923,1745.333,461,7,,3475.221960,667256.440000
DynaCol-GNN,COLONY_GNN,100,Normal Load,2,176,719.137,397.298,7.428,1784.000,468,8,,5141.658269,592811.988728
DynaCol-GNN,COLONY_GNN,100,Normal Load,3,193,773.420,409.232,11.106,1784.000,468,8,,4545.811825,548754.066585
DynaCol-GNN,COLONY_GNN,100,Normal Load,4,210,789.858,435.159,13.799,1745.333,461,7,,3912.874601,667269.880000
DynaCol-GNN,COLONY_GNN,100,Normal Load,5,227,722.420,402.320,8.476,1784.000,468,8,,5215.720936,578631.846072
DynaCol-GNN,COLONY_GNN,100,Burst Load,1,159,772.850,431.339,26.649,1745.333,461,7,,3680.011334,761499.960000
DynaCol-GNN,COLONY_GNN,100,Burst Load,2,176,729.392,403.710,24.404,1784.000,468,8,,5478.246158,651777.343438
DynaCol-GNN,COLONY_GNN,100,Burst Load,3,193,783.190,408.339,24.808,1784.000,468,8,,4631.799295,645020.740960
DynaCol-GNN,COLONY_GNN,100,Burst Load,4,210,793.143,435.108,27.833,1745.333,461,7,,3865.706740,761508.920000
DynaCol-GNN,COLONY_GNN,100,Burst Load,5,227,724.420,400.261,23.985,1784.000,468,8,,5226.134126,689557.461563
DynaCol-GNN,COLONY_GNN,100,Churn,1,159,767.810,426.145,23.718,1753.333,463,7,,3630.688889,667260.920000
DynaCol-GNN,COLONY_GNN,100,Churn,2,176,719.420,391.423,19.273,1784.000,468,8,,5184.127913,567863.322322
DynaCol-GNN,COLONY_GNN,100,Churn,3,193,777.477,405.313,21.810,1797.333,471,8,,4483.036329,544453.060893
DynaCol-GNN,COLONY_GNN,100,Churn,4,210,788.947,440.750,25.732,1753.333,463,7,,3882.217027,667265.400000
DynaCol-GNN,COLONY_GNN,100,Churn,5,227,725.454,400.753,20.896,1784.000,468,8,,5018.324248,586928.442523
DynaCol-GNN,COLONY_GNN,100,Normal Load,1,159,774.580,429.046,11.904,1745.333,461,7,,3325.459657,667260.920000
DynaCol-GNN,COLONY_GNN,100,Normal Load,2,176,717.420,389.928,6.575,1784.000,468,8,,5201.312867,558979.740090
DynaCol-GNN,COLONY_GNN,100,Normal Load,3,193,752.010,405.377,9.716,1784.000,468,8,,4528.319524,547683.341362
DynaCol-GNN,COLONY_GNN,100,Normal Load,4,210,789.925,433.621,13.734,1745.333,461,7,,3825.427180,667265.400000
DynaCol-GNN,COLONY_GNN,100,Normal Load,5,227,726.939,402.307,8.952,1784.000,468,8,,5138.851687,595871.344175
