method,policy,nodes,scenario,trial,seed,p95_ms,mean_loop_ms,sla_pct,overhead_norm,control_messages,colonies,variant,mean_energy_per_req,total_cost
DynaCol-RL,COLONY_RL,100,Normal Load,1,159,785.610,435.012,13.161,1745.333,461,7,,3295.196461,667269.880000
DynaCol-RL,COLONY_RL,100,Normal Load,2,176,717.420,393.524,7.245,1784.000,468,8,,5167.056142,582514.539554
DynaCol-RL,COLONY_RL,100,Normal Load,3,193,772.420,411.561,10.608,1784.000,468,8,,4733.220860,481373.805893
DynaCol-RL,COLONY_RL,100,Normal Load,4,210,805.440,436.043,14.315,1745.333,461,7,,3839.468308,667260.920000
DynaCol-RL,COLONY_RL,100,Normal Load,5,227,729.414,395.246,8.242,1784.000,468,8,,5172.734225,572581.999242
DynaCol-RL,COLONY_RL,100,Burst Load,1,159,795.700,438.948,28.234,1745.333,461,7,,3449.846222,761517.880000
DynaCol-RL,COLONY_RL,100,Burst Load,2,176,723.590,398.766,22.393,1784.000,468,8,,5297.842881,648820.537210
DynaCol-RL,COLONY_RL,100,Burst Load,3,193,774.911,408.768,25.254,1784.000,468,8,,4894.862946,565371.443013
DynaCol-RL,COLONY_RL,100,Burst Load,4,210,807.953,438.886,29.132,1745.333,461,7,,4028.660154,761513.400000
DynaCol-RL,COLONY_RL,100,Burst Load,5,227,729.420,400.673,24.045,1784.000,468,8,,5192.398994,679795.741630
DynaCol-RL,COLONY_RL,100,Churn,1,159,791.739,439.231,25.710,1753.333,463,7,,3343.173398,667269.880000
DynaCol-RL,COLONY_RL,100,Churn,2,176,720.534,390.635,18.802,1784.000,468,8,,5221.506539,582153.018014
DynaCol-RL,COLONY_RL,100,Churn,3,193,757.420,407.103,20.994,1797.333,471,8,,4728.466243,481290.925022
DynaCol-RL,COLONY_RL,100,Churn,4,210,798.508,438.008,26.080,1753.333,463,7,,3872.635249,667260.920000
DynaCol-RL,COLONY_RL,100,Churn,5,227,723.280,404.975,20.986,1784.000,468,8,,4989.070636,599357.843193
DynaCol-RL,COLONY_RL,100,Normal Load,1,159,787.210,436.002,12.897,1745.333,461,7,,3363.478489,667256.440000
DynaCol-RL,COLONY_RL,100,Normal Load,2,176,722.420,390.943,7.920,1784.000,468,8,,5072.401018,573176.009911
DynaCol-RL,COLONY_RL,100,Normal Load,3,193,764.430,407.113,9.964,1784.000,468,8,,4786.159781,474149.892723
DynaCol-RL,COLONY_RL,100,Normal Load,4,210,805.382,439.088,14.244,1745.333,461,7,,3898.292460,667260.920000
DynaCol-RL,COLONY_RL,100,Normal Load,5,227,722.420,397.096,7.892,1784.000,468,8,,5088.852049,583801.409555
DynaCol-RL,COLONY_RL,100,Burst Load,1,159,795.700,436.609,28.510,1745.333,461,7,,3431.450313,761495.480000
DynaCol-RL,COLONY_RL,100,Burst Load,2,176,726.555,394.551,21.895,1784.000,468,8,,5257.445387,674274.506050
DynaCol-RL,COLONY_RL,100,Burst Load,3,193,770.220,400.746,23.459,1784.000,468,8,,4838.430942,561784.603683
DynaCol-RL,COLONY_RL,100,Burst Load,4,210,805.481,436.376,28.687,1745.333,461,7,,4102.282078,761508.920000
DynaCol-RL,COLONY_RL,100,Burst Load,5,227,724.420,396.621,22.378,1784.000,468,8,,5217.659314,685633.389130
DynaCol-RL,COLONY_RL,100,Churn,1,159,788.604,434.727,24.494,1753.333,463,7,,3284.848671,667265.400000
DynaCol-RL,COLONY_RL,100,Churn,2,176,720.822,397.561,19.440,1784.000,468,8,,5274.160387,564634.096674
