method,policy,nodes,scenario,trial,seed,p95_ms,mean_loop_ms,sla_pct,overhead_norm,control_messages,colonies,variant,mean_energy_per_req,total_cost
DynaCol/DCBO,DYNACOL_DCBO,100,Normal Load,1,159,788.110,435.360,12.614,1745.333,461,7,,3289.439654,667256.440000
DynaCol/DCBO,DYNACOL_DCBO,100,Normal Load,2,176,723.720,400.076,8.549,1784.000,468,8,,5192.706172,599643.625246
DynaCol/DCBO,DYNACOL_DCBO,100,Normal Load,3,193,788.620,416.277,12.451,1784.000,468,8,,3320.767651,594027.559048
DynaCol/DCBO,DYNACOL_DCBO,100,Normal Load,4,210,789.780,434.857,13.537,1745.333,461,7,,3267.746022,667256.440000
DynaCol/DCBO,DYNACOL_DCBO,100,Normal Load,5,227,754.897,405.230,8.777,1784.000,468,8,,5007.646963,570738.720648
DynaCol/DCBO,DYNACOL_DCBO,100,Burst Load,1,159,788.225,433.734,27.225,1745.333,461,7,,3369.169190,761517.880000
DynaCol/DCBO,DYNACOL_DCBO,100,Burst Load,2,176,726.420,401.243,23.420,1784.000,468,8,,5257.445387,689567.821429
DynaCol/DCBO,DYNACOL_DCBO,100,Burst Load,3,193,798.420,420.823,27.471,1784.000,468,8,,3457.259932,694088.272625
DynaCol/DCBO,DYNACOL_DCBO,100,Burst Load,4,210,790.269,436.949,27.539,1745.333,461,7,,3452.313923,761513.400000
DynaCol/DCBO,DYNACOL_DCBO,100,Burst Load,5,227,728.680,395.126,22.427,1784.000,468,8,,5228.965184,683230.628126
DynaCol/DCBO,DYNACOL_DCBO,100,Churn,1,159,793.728,441.691,25.534,1753.333,463,7,,3352.698109,667260.920000
DynaCol/DCBO,DYNACOL_DCBO,100,Churn,2,176,722.459,391.780,19.261,1784.000,468,8,,5271.207329,600243.942902
DynaCol/DCBO,DYNACOL_DCBO,100,Churn,3,193,797.420,418.774,24.446,1797.333,471,8,,3364.680590,596906.135067
DynaCol/DCBO,DYNACOL_DCBO,100,Churn,4,210,792.369,436.332,24.821,1753.333,463,7,,3371.911279,667260.920000
DynaCol/DCBO,DYNACOL_DCBO,100,Churn,5,227,720.452,394.114,19.324,1784.000,468,8,,5053.342077,579886.869398
