method,policy,nodes,scenario,trial,seed,p95_ms,mean_loop_ms,sla_pct,overhead_norm,control_messages,colonies,variant,mean_energy_per_req,total_cost
DynaCol-RL,COLONY_RL,100,Normal Load,1,159,789.629,438.758,13.604,1745.333,461,7,,3379.173112,667278.840000
DynaCol-RL,COLONY_RL,100,Normal Load,2,176,722.420,396.765,8.275,1784.000,468,8,,5058.772859,572524.902902
DynaCol-RL,COLONY_RL,100,Normal Load,3,193,767.427,404.840,10.173,1784.000,468,8,,4788.594247,471111.562009
DynaCol-RL,COLONY_RL,100,Normal Load,4,210,804.440,443.851,14.858,1745.333,461,7,,3929.205463,667251.960000
DynaCol-RL,COLONY_RL,100,Normal Load,5,227,730.778,396.679,8.453,1784.000,468,8,,5004.984737,574688.423103
DynaCol-RL,COLONY_RL,100,Burst Load,1,159,787.052,435.192,27.770,1745.333,461,7,,3384.526553,761517.880000
DynaCol-RL,COLONY_RL,100,Burst Load,2,176,724.420,401.492,23.136,1784.000,468,8,,5254.583413,649393.417009
DynaCol-RL,COLONY_RL,100,Burst Load,3,193,778.420,405.584,25.356,1784.000,468,8,,4904.811855,567561.569710
DynaCol-RL,COLONY_RL,100,Burst Load,4,210,805.613,438.191,28.093,1745.333,461,7,,4146.335795,761517.880000
DynaCol-RL,COLONY_RL,100,Burst Load,5,227,729.420,397.659,22.956,1784.000,468,8,,5226.134126,684822.900692
DynaCol-RL,COLONY_RL,100,Churn,1,159,787.399,438.451,25.803,1753.333,463,7,,3359.877334,667278.840000
DynaCol-RL,COLONY_RL,100,Churn,2,176,724.420,401.064,21.180,1784.000,468,8,,5288.975444,563817.768952
DynaCol-RL,COLONY_RL,100,Churn,3,193,747.420,400.471,20.270,1797.333,471,8,,4711.900045,471953.445357
DynaCol-RL,COLONY_RL,100,Churn,4,210,793.294,430.506,24.845,1753.333,463,7,,3879.017837,667269.880000
DynaCol-RL,COLONY_RL,100,Churn,5,227,718.784,393.857,19.161,1784.000,468,8,,4997.015016,584964.947791
