method,policy,nodes,scenario,trial,seed,p95_ms,mean_loop_ms,sla_pct,overhead_norm,control_messages,colonies,variant,mean_energy_per_req,total_cost
Dyna-Bound,COLONY_GNN,100,Normal Load,1,159,790.600,433.407,13.056,1745.333,461,7,,3404.837718,667269.880000
Dyna-Bound,COLONY_GNN,100,Normal Load,2,176,722.420,394.634,7.679,1784.000,468,8,,5315.853354,572424.037367
Dyna-Bound,COLONY_GNN,100,Normal Load,3,193,773.420,411.108,12.014,1784.000,468,8,,3590.532529,581171.313147
Dyna-Bound,COLONY_GNN,100,Normal Load,4,210,803.117,432.855,13.648,1745.333,461,7,,3893.455868,667269.880000
Dyna-Bound,COLONY_GNN,100,Normal Load,5,227,739.279,405.185,8.707,1784.000,468,8,,5029.047163,595069.514621
Dyna-Bound,COLONY_GNN,100,Burst Load,1,159,790.018,439.932,28.684,1745.333,461,7,,3443.692376,761517.880000
Dyna-Bound,COLONY_GNN,100,Burst Load,2,176,729.420,401.695,23.876,1784.000,468,8,,5359.616730,645715.024041
Dyna-Bound,COLONY_GNN,100,Burst Load,3,193,788.257,423.351,27.964,1784.000,468,8,,3667.427709,673412.129228
Dyna-Bound,COLONY_GNN,100,Burst Load,4,210,805.270,432.174,27.258,1745.333,461,7,,3962.508099,761513.400000
Dyna-Bound,COLONY_GNN,100,Burst Load,5,227,739.745,404.384,24.155,1784.000,468,8,,5263.178697,685641.091853
Dyna-Bound,COLONY_GNN,100,Churn,1,159,789.758,433.924,24.592,1753.333,463,7,,3265.479116,667251.960000
Dyna-Bound,COLONY_GNN,100,Churn,2,176,728.420,399.678,20.716,1784.000,468,8,,5186.984182,562915.987925
Dyna-Bound,COLONY_GNN,100,Churn,3,193,777.420,417.337,23.387,1797.333,471,8,,3615.351878,585401.964740
Dyna-Bound,COLONY_GNN,100,Churn,4,210,806.019,442.629,26.163,1753.333,463,7,,3909.624705,667269.880000
Dyna-Bound,COLONY_GNN,100,Churn,5,227,722.420,392.058,19.117,1784.000,468,8,,5069.669515,565061.466117
