method,policy,nodes,scenario,trial,seed,p95_ms,mean_loop_ms,sla_pct,overhead_norm,control_messages,colonies,variant,mean_energy_per_req,total_cost
DynaCol/DCBO,DYNACOL_DCBO,100,Normal Load,1,159,793.050,438.857,13.963,1745.333,461,7,,3319.596717,667247.480000
DynaCol/DCBO,DYNACOL_DCBO,100,Normal Load,2,176,724.420,397.532,7.423,1784.000,468,8,,5064.215325,584918.067590
DynaCol/DCBO,DYNACOL_DCBO,100,Normal Load,3,193,792.420,419.110,12.972,1784.000,468,8,,3355.087773,593859.132054
DynaCol/DCBO,DYNACOL_DCBO,100,Normal Load,4,210,790.230,438.956,13.440,1745.333,461,7,,3338.431309,667251.960000
DynaCol/DCBO,DYNACOL_DCBO,100,Normal Load,5,227,722.420,399.087,7.787,1784.000,468,8,,5021.000688,588804.912077
DynaCol/DCBO,DYNACOL_DCBO,100,Burst Load,1,159,784.280,438.582,28.332,1745.333,461,7,,3367.993625,761517.880000
DynaCol/DCBO,DYNACOL_DCBO,100,Burst Load,2,176,729.420,400.869,23.592,1784.000,468,8,,5175.694225,697058.218215
DynaCol/DCBO,DYNACOL_DCBO,100,Burst Load,3,193,798.910,423.481,28.694,1784.000,468,8,,3444.921388,686854.557039
DynaCol/DCBO,DYNACOL_DCBO,100,Burst Load,4,210,790.390,433.637,27.448,1745.333,461,7,,3375.059346,761508.920000
DynaCol/DCBO,DYNACOL_DCBO,100,Burst Load,5,227,729.420,405.098,24.510,1784.000,468,8,,5401.605893,670409.987456
DynaCol/DCBO,DYNACOL_DCBO,100,Churn,1,159,790.229,438.039,25.419,1753.333,463,7,,3361.076862,667269.880000
DynaCol/DCBO,DYNACOL_DCBO,100,Churn,2,176,717.420,387.999,18.515,1784.000,468,8,,5066.940953,594613.948059
DynaCol/DCBO,DYNACOL_DCBO,100,Churn,3,193,792.420,417.406,24.007,1797.333,471,8,,3368.292054,594416.923536
DynaCol/DCBO,DYNACOL_DCBO,100,Churn,4,210,787.395,439.477,25.018,1753.333,463,7,,3303.289926,667251.960000
DynaCol/DCBO,DYNACOL_DCBO,100,Churn,5,227,729.420,398.984,20.195,1784.000,468,8,,5097.117645,596517.015871
