method,policy,nodes,scenario,trial,seed,p95_ms,mean_loop_ms,sla_pct,overhead_norm,control_messages,colonies,variant,mean_energy_per_req,total_cost
DynaCol-GNN,COLONY_GNN,100,Normal Load,1,159,775.570,422.306,11.328,1745.333,461,7,,3462.440710,667260.920000
DynaCol-GNN,COLONY_GNN,100,Normal Load,2,176,723.120,398.970,8.347,1784.000,468,8,,5102.642976,594802.062233
DynaCol-GNN,COLONY_GNN,100,Normal Load,3,193,797.420,425.445,13.578,1784.000,468,8,,3427.148267,600563.202960
DynaCol-GNN,COLONY_GNN,100,Normal Load,4,210,772.400,428.769,11.563,1745.333,461,7,,3477.789542,667278.840000
DynaCol-GNN,COLONY_GNN,100,Normal Load,5,227,725.266,395.893,8.512,1784.000,468,8,,5169.893624,599491.375804
DynaCol-GNN,COLONY_GNN,100,Churn,1,159,770.930,418.310,22.314,1753.333,463,7,,3524.663531,667260.920000
DynaCol-GNN,COLONY_GNN,100,Churn,2,176,728.070,395.242,19.721,1784.000,468,8,,5045.217733,569023.319979
DynaCol-GNN,COLONY_GNN,100,Churn,3,193,784.420,415.411,24.036,1797.333,471,8,,3423.409560,587693.327366
DynaCol-GNN,COLONY_GNN,100,Churn,4,210,769.176,424.268,22.941,1753.333,463,7,,3385.248576,667260.920000
DynaCol-GNN,COLONY_GNN,100,Churn,5,227,725.832,396.026,19.957,1784.000,468,8,,5050.631057,599652.329375
DynaCol-GNN,COLONY_GNN,100,Burst Load,1,159,775.586,438.914,28.986,1745.333,461,7,,3412.043029,761499.960000
DynaCol-GNN,COLONY_GNN,100,Burst Load,2,176,726.070,398.626,22.454,1784.000,468,8,,5172.920541,675791.491317
DynaCol-GNN,COLONY_GNN,100,Burst Load,3,193,802.101,423.240,28.465,1784.000,468,8,,3430.230892,684969.611907
DynaCol-GNN,COLONY_GNN,100,Burst Load,4,210,772.050,422.851,26.314,1745.333,461,7,,3597.715143,761499.960000
DynaCol-GNN,COLONY_GNN,100,Burst Load,5,227,729.420,399.814,22.570,1784.000,468,8,,5212.024692,694371.640983
