method,policy,nodes,scenario,trial,seed,p95_ms,mean_loop_ms,sla_pct,overhead_norm,control_messages,colonies,variant,mean_energy_per_req,total_cost
DynaCol-RL,COLONY_RL,100,Normal Load,1,159,790.392,438.572,13.532,1745.333,461,7,,3334.883560,667260.920000
DynaCol-RL,COLONY_RL,100,Normal Load,2,176,717.420,392.810,7.568,1784.000,468,8,,5088.852049,591711.758037
DynaCol-RL,COLONY_RL,100,Normal Load,3,193,783.567,409.687,11.242,1784.000,468,8,,4267.622978,489034.883348
DynaCol-RL,COLONY_RL,100,Normal Load,4,210,791.647,435.695,13.950,1745.333,461,7,,3350.311847,667269.880000
DynaCol-RL,COLONY_RL,100,Normal Load,5,227,717.420,394.765,7.652,1784.000,468,8,,4968.008596,595096.351742
DynaCol-RL,COLONY_RL,100,Churn,1,159,786.496,435.008,25.161,1753.333,463,7,,3364.680590,667269.880000
DynaCol-RL,COLONY_RL,100,Churn,2,176,721.991,398.637,19.989,1784.000,468,8,,5045.217733,580582.262032
DynaCol-RL,COLONY_RL,100,Churn,3,193,778.420,409.903,23.152,1797.333,471,8,,4376.743975,498711.001339
DynaCol-RL,COLONY_RL,100,Churn,4,210,789.950,440.830,25.846,1753.333,463,7,,3427.148267,667256.440000
DynaCol-RL,COLONY_RL,100,Churn,5,227,745.716,402.907,20.824,1784.000,468,8,,5172.734225,605066.555760
DynaCol-RL,COLONY_RL,100,Burst Load,1,159,794.642,442.616,29.659,1745.333,461,7,,3499.880250,761508.920000
DynaCol-RL,COLONY_RL,100,Burst Load,2,176,731.015,399.976,23.890,1784.000,468,8,,5289.134099,687092.814732
DynaCol-RL,COLONY_RL,100,Burst Load,3,193,794.562,411.658,25.648,1784.000,468,8,,4468.828579,585204.763348
DynaCol-RL,COLONY_RL,100,Burst Load,4,210,794.072,441.664,28.745,1745.333,461,7,,3442.464240,761513.400000
DynaCol-RL,COLONY_RL,100,Burst Load,5,227,719.420,398.321,22.963,1784.000,468,8,,5277.566829,699411.956496
