method,policy,nodes,scenario,trial,seed,p95_ms,mean_loop_ms,sla_pct,overhead_norm,control_messages,colonies,variant,mean_energy_per_req,total_cost
DynaCol/DCBO,DYNACOL_DCBO,100,Burst Load,4,210,791.806,439.047,29.029,1745.333,461,7,,3472.183356,761508.920000
DynaCol/DCBO,DYNACOL_DCBO,100,Burst Load,5,227,734.420,402.574,24.252,1784.000,468,8,,5156.340668,675458.096608
DynaCol/DCBO,DYNACOL_DCBO,100,Normal Load,1,159,791.042,437.311,13.433,1745.333,461,7,,3345.549499,667251.960000
DynaCol/DCBO,DYNACOL_DCBO,100,Normal Load,2,176,725.824,397.557,9.016,1784.000,468,8,,5144.467918,595527.634621
DynaCol/DCBO,DYNACOL_DCBO,100,Normal Load,3,193,790.272,419.124,12.292,1784.000,468,8,,3325.459657,599007.115700
DynaCol/DCBO,DYNACOL_DCBO,100,Normal Load,4,210,793.077,441.432,13.974,1745.333,461,7,,3364.680590,667269.880000
DynaCol/DCBO,DYNACOL_DCBO,100,Normal Load,5,227,722.420,401.742,8.338,1784.000,468,8,,4999.668768,588804.064041
DynaCol/DCBO,DYNACOL_DCBO,100,Churn,1,159,787.362,435.882,25.194,1753.333,463,7,,3312.588420,667269.880000
DynaCol/DCBO,DYNACOL_DCBO,100,Churn,2,176,727.420,399.683,20.907,1784.000,468,8,,5021.000688,587872.697344
DynaCol/DCBO,DYNACOL_DCBO,100,Churn,3,193,793.420,417.911,23.922,1797.333,471,8,,3412.242222,592630.838378
DynaCol/DCBO,DYNACOL_DCBO,100,Churn,4,210,787.630,432.552,24.198,1753.333,463,7,,3320.767651,667278.840000
DynaCol/DCBO,DYNACOL_DCBO,100,Churn,5,227,729.124,395.658,19.771,1784.000,468,8,,5141.658269,600946.741429
DynaCol/DCBO,DYNACOL_DCBO,100,Burst Load,1,159,786.352,433.726,26.874,1745.333,461,7,,3444.921388,761517.880000
DynaCol/DCBO,DYNACOL_DCBO,100,Burst Load,2,176,724.420,402.044,23.122,1784.000,468,8,,5178.470885,676923.904041
DynaCol/DCBO,DYNACOL_DCBO,100,Burst Load,3,193,800.420,422.573,28.181,1784.000,468,8,,3469.687178,688724.051049
