method,policy,nodes,scenario,trial,seed,p95_ms,mean_loop_ms,sla_pct,overhead_norm,control_messages,colonies,variant,mean_energy_per_req,total_cost
DynaCol-GNN,COLONY_GNN,100,Normal Load,1,159,771.440,435.321,12.840,1745.333,461,7,,3330.164942,667269.880000
DynaCol-GNN,COLONY_GNN,100,Normal Load,2,176,722.420,394.127,8.297,1784.000,468,8,,5072.401018,570764.314889
DynaCol-GNN,COLONY_GNN,100,Normal Load,3,193,772.230,407.660,10.382,1784.000,468,8,,4442.839212,560127.825246
DynaCol-GNN,COLONY_GNN,100,Normal Load,4,210,781.443,428.405,12.702,1745.333,461,7,,3808.404648,667260.920000
DynaCol-GNN,COLONY_GNN,100,Normal Load,5,227,727.512,399.487,8.797,1784.000,468,8,,5080.613216,589328.901027
DynaCol-GNN,COLONY_GNN,100,Normal Load,6,244,787.420,420.868,13.014,1784.000,468,8,,3365.883550,597422.446697
DynaCol-GNN,COLONY_GNN,100,Normal Load,7,261,763.179,418.853,11.662,1745.333,461,7,,3564.701359,667265.400000
DynaCol-GNN,COLONY_GNN,100,Normal Load,8,278,724.926,394.633,8.114,1784.000,468,8,,5268.257577,571546.240045
DynaCol-GNN,COLONY_GNN,100,Normal Load,9,295,797.383,421.248,13.370,1784.000,468,8,,3411.005902,590811.284070
DynaCol-GNN,COLONY_GNN,100,Normal Load,10,312,769.560,429.411,11.739,1745.333,461,7,,3390.124699,667260.920000
DynaCol-GNN,COLONY_GNN,100,Burst Load,1,159,775.867,429.841,27.144,1745.333,461,7,,3599.056573,761517.880000
DynaCol-GNN,COLONY_GNN,100,Burst Load,2,176,719.420,394.139,22.037,1784.000,468,8,,5371.546873,660169.654933
DynaCol-GNN,COLONY_GNN,100,Burst Load,3,193,766.854,406.431,25.048,1784.000,468,8,,4658.624387,630729.907523
DynaCol-GNN,COLONY_GNN,100,Burst Load,4,210,786.690,429.469,27.072,1745.333,461,7,,3865.706740,761513.400000
DynaCol-GNN,COLONY_GNN,100,Burst Load,5,227,724.306,399.717,23.136,1784.000,468,8,,5330.021938,692345.428661
DynaCol-GNN,COLONY_GNN,100,Burst Load,6,244,799.420,422.022,27.501,1784.000,468,8,,3460.978749,690095.723536
DynaCol-GNN,COLONY_GNN,100,Burst Load,7,261,763.760,425.208,26.424,1745.333,461,7,,3691.269495,761517.880000
DynaCol-GNN,COLONY_GNN,100,Burst Load,8,278,731.420,406.631,24.542,1784.000,468,8,,5359.616730,659666.826451
DynaCol-GNN,COLONY_GNN,100,Burst Load,9,295,798.420,419.621,27.350,1784.000,468,8,,3410.837360,691908.561339
DynaCol-GNN,COLONY_GNN,100,Burst Load,10,312,776.454,435.697,28.603,1745.333,461,7,,3548.775636,761508.920000
DynaCol-GNN,COLONY_GNN,100,Churn,1,159,766.888,421.311,23.054,1753.333,463,7,,3557.965340,667269.880000
DynaCol-GNN,COLONY_GNN,100,Churn,2,176,722.420,401.337,20.198,1784.000,468,8,,5181.274788,569053.460090
DynaCol-GNN,COLONY_GNN,100,Churn,3,193,772.420,404.404,21.567,1797.333,471,8,,4442.839212,535103.741228
DynaCol-GNN,COLONY_GNN,100,Churn,4,210,792.798,437.143,25.946,1753.333,463,7,,3914.501576,667260.920000
DynaCol-GNN,COLONY_GNN,100,Churn,5,227,724.366,401.548,20.130,1784.000,468,8,,5108.180298,582608.418081
DynaCol-GNN,COLONY_GNN,100,Churn,6,244,794.548,419.194,24.615,1784.000,468,8,,3368.292054,599387.762867
DynaCol-GNN,COLONY_GNN,100,Churn,7,261,769.097,434.631,24.711,1753.333,463,7,,3406.069569,667269.880000
DynaCol-GNN,COLONY_GNN,100,Churn,8,278,756.006,403.078,20.453,1784.000,468,8,,5080.613216,620088.871608
DynaCol-GNN,COLONY_GNN,100,Churn,9,295,792.420,418.834,24.457,1792.000,470,8,,3411.005902,596863.245022
DynaCol-GNN,COLONY_GNN,100,Churn,10,312,781.302,431.161,23.942,1753.333,463,7,,3435.903755,667251.960000
