method,policy,nodes,scenario,trial,seed,p95_ms,mean_loop_ms,sla_pct,overhead_norm,control_messages,colonies,variant,mean_energy_per_req,total_cost
DynaCol-RL,COLONY_RL,100,Normal Load,1,159,790.747,437.602,13.601,1745.333,461,7,,3343.173398,667265.400000
DynaCol-RL,COLONY_RL,100,Normal Load,2,176,722.420,397.192,8.080,1784.000,468,8,,5209.948141,570918.416541
DynaCol-RL,COLONY_RL,100,Normal Load,3,193,764.420,404.187,9.934,1784.000,468,8,,4747.542254,462101.966027
DynaCol-RL,COLONY_RL,100,Normal Load,4,210,797.196,435.693,14.406,1745.333,461,7,,3977.345285,667265.400000
DynaCol-RL,COLONY_RL,100,Normal Load,5,227,725.721,398.790,8.270,1784.000,468,8,,5088.852049,613734.374063
DynaCol-RL,COLONY_RL,100,Normal Load,6,244,791.670,413.297,12.593,1784.000,468,8,,4391.033717,498941.527031
DynaCol-RL,COLONY_RL,100,Normal Load,7,261,791.440,437.834,13.238,1745.333,461,7,,3368.292054,667260.920000
DynaCol-RL,COLONY_RL,100,Normal Load,8,278,727.240,403.344,8.200,1784.000,468,8,,5012.979920,578868.298550
DynaCol-RL,COLONY_RL,100,Normal Load,9,295,787.302,406.082,11.013,1784.000,468,8,,4356.490648,487548.450380
DynaCol-RL,COLONY_RL,100,Normal Load,10,312,798.553,438.128,14.071,1745.333,461,7,,3370.704006,667251.960000
DynaCol-RL,COLONY_RL,100,Burst Load,1,159,790.844,434.666,27.380,1745.333,461,7,,3353.950566,761504.440000
DynaCol-RL,COLONY_RL,100,Burst Load,2,176,724.420,394.218,22.712,1784.000,468,8,,5257.445387,650906.344710
DynaCol-RL,COLONY_RL,100,Burst Load,3,193,759.520,407.025,24.387,1784.000,468,8,,4833.585243,554388.684353
DynaCol-RL,COLONY_RL,100,Burst Load,4,210,809.628,440.016,28.423,1745.333,461,7,,4016.924565,761517.880000
DynaCol-RL,COLONY_RL,100,Burst Load,5,227,724.420,397.114,22.782,1784.000,468,8,,5286.237530,684726.846496
DynaCol-RL,COLONY_RL,100,Burst Load,6,244,788.475,408.357,24.527,1784.000,468,8,,4450.285722,598302.283013
DynaCol-RL,COLONY_RL,100,Burst Load,7,261,784.033,435.319,28.668,1745.333,461,7,,3446.151278,761513.400000
DynaCol-RL,COLONY_RL,100,Burst Load,8,278,725.157,399.803,23.643,1784.000,468,8,,5344.778367,681157.891384
DynaCol-RL,COLONY_RL,100,Burst Load,9,295,783.420,413.863,26.184,1784.000,468,8,,4481.276569,593368.245156
DynaCol-RL,COLONY_RL,100,Burst Load,10,312,786.817,434.419,27.441,1745.333,461,7,,3440.010595,761517.880000
DynaCol-RL,COLONY_RL,100,Churn,1,159,790.690,436.071,25.363,1753.333,463,7,,3334.883560,667260.920000
DynaCol-RL,COLONY_RL,100,Churn,2,176,726.181,399.767,19.643,1784.000,468,8,,5094.359464,560342.518907
DynaCol-RL,COLONY_RL,100,Churn,3,193,763.420,403.112,21.125,1797.333,471,8,,4769.187584,483969.730781
DynaCol-RL,COLONY_RL,100,Churn,4,210,803.886,437.167,25.266,1753.333,463,7,,3848.886464,667260.920000
DynaCol-RL,COLONY_RL,100,Churn,5,227,722.420,397.348,20.119,1784.000,468,8,,5077.872864,596788.525269
DynaCol-RL,COLONY_RL,100,Churn,6,244,792.420,412.836,22.990,1784.000,468,8,,4426.128956,503723.529710
DynaCol-RL,COLONY_RL,100,Churn,7,261,784.580,434.673,24.546,1753.333,463,7,,3353.892515,667251.960000
DynaCol-RL,COLONY_RL,100,Churn,8,278,718.520,401.502,20.786,1784.000,468,8,,5069.669515,570841.173058
DynaCol-RL,COLONY_RL,100,Churn,9,295,785.620,409.052,22.298,1792.000,470,8,,4257.972090,473411.528371
DynaCol-RL,COLONY_RL,100,Churn,10,312,794.904,430.790,23.968,1753.333,463,7,,3439.669817,667251.960000
