method,policy,nodes,scenario,trial,seed,p95_ms,mean_loop_ms,sla_pct,overhead_norm,control_messages,colonies,variant,mean_energy_per_req,total_cost
DynaCol/DCBO,DYNACOL_DCBO,100,Normal Load,1,159,790.762,437.406,13.561,1745.333,461,7,,3341.986613,667269.880000
DynaCol/DCBO,DYNACOL_DCBO,100,Normal Load,2,176,726.361,399.679,8.139,1784.000,468,8,,5108.180298,572552.230135
DynaCol/DCBO,DYNACOL_DCBO,100,Normal Load,3,193,783.420,418.427,12.690,1784.000,468,8,,3413.479438,589386.237982
DynaCol/DCBO,DYNACOL_DCBO,100,Normal Load,4,210,792.255,437.936,13.255,1745.333,461,7,,3345.549499,667260.920000
DynaCol/DCBO,DYNACOL_DCBO,100,Normal Load,5,227,723.180,395.744,8.082,1784.000,468,8,,5072.401018,593166.423572
DynaCol/DCBO,DYNACOL_DCBO,100,Normal Load,6,244,788.420,417.593,12.207,1784.000,468,8,,3390.124699,589808.000858
DynaCol/DCBO,DYNACOL_DCBO,100,Normal Load,7,261,796.746,440.429,14.083,1745.333,461,7,,3347.928979,667265.400000
DynaCol/DCBO,DYNACOL_DCBO,100,Normal Load,8,278,737.305,401.248,8.819,1784.000,468,8,,5031.735056,605174.043884
DynaCol/DCBO,DYNACOL_DCBO,100,Normal Load,9,295,787.420,418.662,12.705,1784.000,468,8,,3359.877334,591341.039051
DynaCol/DCBO,DYNACOL_DCBO,100,Normal Load,10,312,793.100,436.536,13.817,1745.333,461,7,,3318.426609,667269.880000
DynaCol/DCBO,DYNACOL_DCBO,100,Normal Load,11,329,722.430,396.507,7.937,1784.000,468,8,,5083.356528,581741.877099
DynaCol/DCBO,DYNACOL_DCBO,100,Normal Load,12,346,789.420,420.605,13.367,1784.000,468,8,,3401.147504,597769.169100
DynaCol/DCBO,DYNACOL_DCBO,100,Normal Load,13,363,790.222,437.380,13.310,1745.333,461,7,,3280.270484,667278.840000
DynaCol/DCBO,DYNACOL_DCBO,100,Normal Load,14,380,729.420,395.080,8.396,1784.000,468,8,,5066.940953,588494.981161
DynaCol/DCBO,DYNACOL_DCBO,100,Normal Load,15,397,796.806,419.276,13.017,1784.000,468,8,,3357.480845,593608.004018
DynaCol/DCBO,DYNACOL_DCBO,100,Normal Load,16,414,791.316,434.631,13.215,1745.333,461,7,,3408.535949,667265.400000
DynaCol/DCBO,DYNACOL_DCBO,100,Normal Load,17,431,725.386,403.028,8.383,1784.000,468,8,,5058.772859,595674.180425
DynaCol/DCBO,DYNACOL_DCBO,100,Normal Load,18,448,783.834,417.716,12.406,1784.000,468,8,,3385.248576,593467.682197
DynaCol/DCBO,DYNACOL_DCBO,100,Normal Load,19,465,793.969,437.343,14.229,1745.333,461,7,,3425.901124,667260.920000
DynaCol/DCBO,DYNACOL_DCBO,100,Normal Load,20,482,723.977,397.499,8.397,1784.000,468,8,,5099.878814,582121.981094
DynaCol/DCBO,DYNACOL_DCBO,100,Burst Load,1,159,790.848,441.308,29.065,1745.333,461,7,,3367.993625,761517.880000
DynaCol/DCBO,DYNACOL_DCBO,100,Burst Load,2,176,757.744,406.435,23.712,1784.000,468,8,,5178.470885,694420.584442
DynaCol/DCBO,DYNACOL_DCBO,100,Burst Load,3,193,799.346,420.818,28.647,1784.000,468,8,,3426.577824,693537.206027
DynaCol/DCBO,DYNACOL_DCBO,100,Burst Load,4,210,791.205,442.649,28.690,1745.333,461,7,,3492.282826,761517.880000
DynaCol/DCBO,DYNACOL_DCBO,100,Burst Load,5,227,724.430,395.148,22.718,1784.000,468,8,,5184.033153,676978.288505
