method,policy,nodes,scenario,trial,seed,p95_ms,mean_loop_ms,sla_pct,overhead_norm,control_messages,colonies,variant,mean_energy_per_req,total_cost
DRL-based,DRL_STYLE,100,Normal Load,1,159,728.420,389.704,8.447,1468.000,357,7,,5600.461802,248808.960000
DRL-based,DRL_STYLE,100,Normal Load,2,176,709.420,380.677,6.658,1517.333,368,8,,6267.893668,251157.320000
DRL-based,DRL_STYLE,100,Normal Load,3,193,752.121,396.699,9.930,1506.667,364,8,,5954.642296,249594.065626
DRL-based,DRL_STYLE,100,Normal Load,4,210,718.420,382.874,7.388,1473.333,359,7,,5391.968093,252762.920000
DRL-based,DRL_STYLE,100,Normal Load,5,227,704.427,375.477,5.502,1522.667,370,8,,6093.447437,250937.000000
DRL-based,DRL_STYLE,100,Normal Load,6,244,727.420,393.497,7.988,1506.667,364,8,,5654.280054,250516.080000
DRL-based,DRL_STYLE,100,Normal Load,7,261,717.420,387.178,7.960,1476.000,360,7,,7275.406716,253483.400000
DRL-based,DRL_STYLE,100,Normal Load,8,278,717.420,387.384,7.012,1517.333,368,8,,9043.471903,246587.080000
DRL-based,DRL_STYLE,100,Normal Load,9,295,781.220,409.622,11.530,1530.667,373,8,,6700.623694,245939.280000
DRL-based,DRL_STYLE,100,Normal Load,10,312,708.420,377.035,6.195,1473.333,359,7,,6339.647333,247882.720000
DRL-based,DRL_STYLE,100,Normal Load,11,329,702.420,379.115,5.209,1517.333,368,8,,5388.881677,253421.360000
DRL-based,DRL_STYLE,100,Normal Load,12,346,727.420,393.315,8.925,1520.000,369,8,,6615.865278,253000.280000
DRL-based,DRL_STYLE,100,Normal Load,13,363,717.420,385.745,6.888,1473.333,359,7,,7453.899773,248676.681875
DRL-based,DRL_STYLE,100,Normal Load,14,380,712.520,388.044,7.417,1506.667,364,8,,5818.526755,252429.640000
DRL-based,DRL_STYLE,100,Normal Load,15,397,747.420,396.599,10.247,1512.000,366,8,,7252.986356,248070.320000
DRL-based,DRL_STYLE,100,Normal Load,16,414,747.920,397.615,9.739,1476.000,360,7,,6643.878821,247742.520000
DRL-based,DRL_STYLE,100,Normal Load,17,431,723.321,394.904,8.064,1520.000,369,8,,5346.039915,258191.320000
DRL-based,DRL_STYLE,100,Normal Load,18,448,751.820,394.220,9.411,1512.000,366,8,,6027.129507,253386.440000
DRL-based,DRL_STYLE,100,Normal Load,19,465,707.420,384.272,6.342,1462.667,355,7,,6634.514651,248961.680000
DRL-based,DRL_STYLE,100,Normal Load,20,482,692.420,366.878,4.098,1522.667,370,8,,5358.210751,254282.560000
DRL-based,DRL_STYLE,100,Burst Load,1,159,725.579,391.253,23.408,1468.000,357,7,,5691.432624,341585.200000
DRL-based,DRL_STYLE,100,Burst Load,2,176,715.420,383.411,21.226,1517.333,368,8,,6504.494427,345175.640000
DRL-based,DRL_STYLE,100,Burst Load,3,193,750.420,399.624,23.510,1506.667,364,8,,6251.714933,344508.720000
DRL-based,DRL_STYLE,100,Burst Load,4,210,719.820,382.591,20.155,1473.333,359,7,,5330.021938,348223.766001
