method,policy,nodes,scenario,trial,seed,p95_ms,mean_loop_ms,sla_pct,overhead_norm,control_messages,colonies,variant,mean_energy_per_req,total_cost
DynaCol-GNN,COLONY_GNN,1000,Normal Load,1,1059,1317.420,698.317,1.382,2109.815,6095,67,,5943.583036,5119064.440000
DynaCol-GNN,COLONY_GNN,1000,Normal Load,2,1076,1292.420,684.551,0.482,2113.542,6102,68,,6113.195095,4818268.157327
DynaCol-GNN,COLONY_GNN,1000,Normal Load,3,1093,1302.420,694.966,0.422,2113.542,6102,68,,6294.333222,4778311.175536
DynaCol-GNN,COLONY_GNN,1000,Normal Load,4,1110,1322.420,708.835,1.529,2109.815,6095,67,,6075.341847,5119068.920000
DynaCol-GNN,COLONY_GNN,1000,Normal Load,5,1127,1298.420,689.576,0.457,2113.542,6102,68,,6284.977262,4820604.124913
DynaCol-GNN,COLONY_GNN,1000,Normal Load,6,1144,1357.420,720.945,0.292,2113.542,6102,68,,4670.795548,4845568.262233
DynaCol-GNN,COLONY_GNN,1000,Normal Load,7,1161,1320.892,704.417,1.464,2109.815,6095,67,,6019.534863,5119077.880000
DynaCol-GNN,COLONY_GNN,1000,Normal Load,8,1178,1293.420,687.736,0.326,2113.542,6102,68,,6296.564938,4801096.886697
DynaCol-GNN,COLONY_GNN,1000,Normal Load,9,1195,1322.420,706.817,0.494,2113.542,6102,68,,5847.298987,4851960.526097
DynaCol-GNN,COLONY_GNN,1000,Normal Load,10,1212,1319.420,707.059,1.382,2109.815,6095,67,,6058.760108,5119086.840000
DynaCol-GNN,COLONY_GNN,1000,Burst Load,1,1059,1323.213,703.862,2.791,2109.815,6095,67,,6135.050788,6945708.920000
DynaCol-GNN,COLONY_GNN,1000,Burst Load,2,1076,1309.420,698.308,1.438,2113.542,6102,68,,6788.941199,6632488.842679
DynaCol-GNN,COLONY_GNN,1000,Burst Load,3,1093,1325.420,703.481,2.732,2113.542,6102,68,,5927.708701,6642630.738394
DynaCol-GNN,COLONY_GNN,1000,Burst Load,4,1110,1333.420,716.542,3.234,2109.815,6095,67,,6316.875753,6945713.400000
DynaCol-GNN,COLONY_GNN,1000,Burst Load,5,1127,1309.420,694.817,1.381,2113.542,6102,68,,6405.467438,6606010.803013
DynaCol-GNN,COLONY_GNN,1000,Burst Load,6,1144,1334.420,712.758,3.252,2113.542,6102,68,,6034.289689,6618639.102123
DynaCol-GNN,COLONY_GNN,1000,Burst Load,7,1161,1325.420,709.930,2.901,2109.815,6095,67,,6189.645697,6945708.920000
DynaCol-GNN,COLONY_GNN,1000,Burst Load,8,1178,1304.420,690.345,1.348,2113.542,6102,68,,6532.442506,6584288.310469
DynaCol-GNN,COLONY_GNN,1000,Burst Load,9,1195,1334.420,706.130,3.256,2113.542,6102,68,,5794.637305,6667018.675224
DynaCol-GNN,COLONY_GNN,1000,Burst Load,10,1212,1328.420,711.400,2.964,2109.815,6095,67,,6280.735778,6945717.880000
DynaCol-GNN,COLONY_GNN,1000,Churn,1,1059,1313.595,699.364,2.411,2156.337,5984,67,,5913.303061,5119077.880000
DynaCol-GNN,COLONY_GNN,1000,Churn,2,1076,1297.392,689.138,0.745,2133.076,5906,68,,6300.586019,4802302.020181
DynaCol-GNN,COLONY_GNN,1000,Churn,3,1093,1302.420,694.315,1.130,2135.261,5910,69,,6290.988612,4844302.029912
DynaCol-GNN,COLONY_GNN,1000,Churn,4,1110,1322.420,712.100,2.618,2153.382,5976,67,,6133.675872,5119073.400000
DynaCol-GNN,COLONY_GNN,1000,Churn,5,1127,1297.420,686.441,0.831,2127.807,5894,68,,6256.634636,4816076.307657
DynaCol-GNN,COLONY_GNN,1000,Churn,6,1144,1317.420,702.803,1.776,2124.209,5884,70,,6171.618333,4862341.698081
DynaCol-GNN,COLONY_GNN,1000,Churn,7,1161,1322.336,703.930,2.524,2158.651,5992,67,,6025.048940,5119077.880000
DynaCol-GNN,COLONY_GNN,1000,Churn,8,1178,1293.420,684.643,0.757,2130.378,5899,68,,6309.316002,4780982.662546
DynaCol-GNN,COLONY_GNN,1000,Churn,9,1195,1372.420,724.718,4.042,2124.723,5886,72,,4321.830024,4896100.575402
DynaCol-GNN,COLONY_GNN,1000,Churn,10,1212,1322.420,707.923,2.564,2153.767,5980,67,,6071.603047,5119077.880000
