method,policy,nodes,scenario,trial,seed,p95_ms,mean_loop_ms,sla_pct,overhead_norm,control_messages,colonies,variant,mean_energy_per_req,total_cost
DynaCol-RL,COLONY_RL,1000,Normal Load,1,1059,1316.741,700.352,1.417,2109.815,6095,67,,5961.139858,5119068.920000
DynaCol-RL,COLONY_RL,1000,Normal Load,2,1076,1297.420,694.198,0.514,2113.542,6102,68,,6524.185067,4813445.379420
DynaCol-RL,COLONY_RL,1000,Normal Load,3,1093,1344.420,714.861,0.077,2113.542,6102,68,,4743.649320,4786877.420359
DynaCol-RL,COLONY_RL,1000,Normal Load,4,1110,1319.420,712.402,1.561,2109.815,6095,67,,6175.051897,5119077.880000
DynaCol-RL,COLONY_RL,1000,Normal Load,5,1127,1297.420,690.573,0.443,2113.542,6102,68,,6499.352859,4809446.248371
DynaCol-RL,COLONY_RL,1000,Normal Load,6,1144,1352.428,722.011,0.371,2113.542,6102,68,,4571.951639,4754684.526697
DynaCol-RL,COLONY_RL,1000,Normal Load,7,1161,1317.420,710.213,1.435,2109.815,6095,67,,6083.666799,5119077.880000
DynaCol-RL,COLONY_RL,1000,Normal Load,8,1178,1292.420,683.786,0.364,2113.542,6102,68,,6531.863966,4809340.566855
DynaCol-RL,COLONY_RL,1000,Normal Load,9,1195,1352.420,716.353,0.404,2113.542,6102,68,,4566.895991,4797312.165357
DynaCol-RL,COLONY_RL,1000,Normal Load,10,1212,1317.420,705.567,1.376,2109.815,6095,67,,6126.058764,5119073.400000
DynaCol-RL,COLONY_RL,1000,Burst Load,1,1059,1324.420,707.742,2.859,2109.815,6095,67,,6158.062670,6945708.920000
DynaCol-RL,COLONY_RL,1000,Burst Load,2,1076,1304.420,693.136,1.070,2113.542,6102,68,,6746.466333,6582184.529466
DynaCol-RL,COLONY_RL,1000,Burst Load,3,1093,1363.420,725.307,5.219,2113.542,6102,68,,4835.113052,6593494.090515
DynaCol-RL,COLONY_RL,1000,Burst Load,4,1110,1333.410,715.246,3.208,2109.815,6095,67,,6340.833285,6945717.880000
DynaCol-RL,COLONY_RL,1000,Burst Load,5,1127,1305.420,693.358,1.064,2113.542,6102,68,,6754.968812,6552779.709422
DynaCol-RL,COLONY_RL,1000,Burst Load,6,1144,1373.420,728.316,5.474,2113.542,6102,68,,4650.408263,6593260.136875
DynaCol-RL,COLONY_RL,1000,Burst Load,7,1161,1328.420,712.512,2.889,2109.815,6095,67,,6343.481920,6945717.880000
DynaCol-RL,COLONY_RL,1000,Burst Load,8,1178,1304.420,690.372,1.127,2113.542,6102,68,,6688.770365,6580016.463304
DynaCol-RL,COLONY_RL,1000,Burst Load,9,1195,1372.420,720.790,5.427,2113.542,6102,68,,4669.354018,6666925.461764
DynaCol-RL,COLONY_RL,1000,Burst Load,10,1212,1330.420,713.552,2.988,2109.815,6095,67,,6316.437857,6945717.880000
DynaCol-RL,COLONY_RL,1000,Churn,1,1059,1312.420,699.052,2.374,2156.337,5984,67,,5953.945000,5119064.440000
DynaCol-RL,COLONY_RL,1000,Churn,2,1076,1294.420,690.808,0.735,2133.076,5906,68,,6492.224812,4787849.574063
DynaCol-RL,COLONY_RL,1000,Churn,3,1093,1352.420,718.430,3.455,2135.261,5910,69,,4738.084614,4766705.716599
DynaCol-RL,COLONY_RL,1000,Churn,4,1110,1322.420,709.991,2.752,2153.382,5976,67,,6154.720923,5119077.880000
DynaCol-RL,COLONY_RL,1000,Churn,5,1127,1292.420,689.530,0.636,2127.807,5894,68,,6492.462162,4791367.883394
DynaCol-RL,COLONY_RL,1000,Churn,6,1144,1352.420,719.801,3.472,2124.209,5884,70,,4547.599742,4747752.207366
DynaCol-RL,COLONY_RL,1000,Churn,7,1161,1317.420,709.288,2.584,2158.651,5992,67,,6085.543058,5119073.400000
DynaCol-RL,COLONY_RL,1000,Churn,8,1178,1292.420,686.301,0.795,2130.378,5899,68,,6504.828304,4803271.807278
DynaCol-RL,COLONY_RL,1000,Churn,9,1195,1349.420,713.876,3.427,2124.723,5886,72,,4522.123641,4789166.572523
DynaCol-RL,COLONY_RL,1000,Churn,10,1212,1317.420,708.092,2.465,2153.767,5980,67,,6123.101663,5119055.480000
