method,policy,nodes,scenario,trial,seed,p95_ms,mean_loop_ms,sla_pct,overhead_norm,control_messages,colonies,variant,mean_energy_per_req,total_cost
DynaCol/DCBO,DYNACOL_DCBO,1000,Normal Load,1,1059,1317.420,710.156,1.420,2109.815,6095,67,,6092.014597,5119064.440000
DynaCol/DCBO,DYNACOL_DCBO,1000,Normal Load,2,1076,1292.420,689.207,0.420,2113.542,6102,68,,6428.536381,4776550.771454
DynaCol/DCBO,DYNACOL_DCBO,1000,Normal Load,3,1093,1407.420,736.171,0.440,2113.542,6102,68,,3811.480641,4950921.262271
DynaCol/DCBO,DYNACOL_DCBO,1000,Normal Load,4,1110,1319.462,713.606,1.426,2109.815,6095,67,,6115.932001,5119064.440000
DynaCol/DCBO,DYNACOL_DCBO,1000,Normal Load,5,1127,1292.420,687.315,0.386,2113.542,6102,68,,6474.000857,4748958.602188
DynaCol/DCBO,DYNACOL_DCBO,1000,Normal Load,6,1144,1407.420,735.285,0.393,2113.542,6102,68,,3816.149165,4956707.544979
DynaCol/DCBO,DYNACOL_DCBO,1000,Normal Load,7,1161,1319.552,708.725,1.458,2109.815,6095,67,,6134.099600,5119077.880000
DynaCol/DCBO,DYNACOL_DCBO,1000,Normal Load,8,1178,1294.420,688.512,0.390,2113.542,6102,68,,6418.545523,4775892.740181
DynaCol/DCBO,DYNACOL_DCBO,1000,Normal Load,9,1195,1407.420,734.774,0.404,2113.542,6102,68,,3837.258373,4950345.017248
DynaCol/DCBO,DYNACOL_DCBO,1000,Normal Load,10,1212,1318.544,709.596,1.389,2109.815,6095,67,,6152.801771,5119068.920000
DynaCol/DCBO,DYNACOL_DCBO,1000,Burst Load,1,1059,1333.420,717.601,3.132,2109.815,6095,67,,6356.536628,6945717.880000
DynaCol/DCBO,DYNACOL_DCBO,1000,Burst Load,2,1076,1303.420,691.996,1.079,2113.542,6102,68,,6598.911812,6573056.563348
DynaCol/DCBO,DYNACOL_DCBO,1000,Burst Load,3,1093,1409.420,739.664,6.824,2113.542,6102,68,,3946.884445,6767754.713021
DynaCol/DCBO,DYNACOL_DCBO,1000,Burst Load,4,1110,1329.420,715.994,2.989,2109.815,6095,67,,6355.871533,6945708.920000
DynaCol/DCBO,DYNACOL_DCBO,1000,Burst Load,5,1127,1303.420,693.055,1.091,2113.542,6102,68,,6670.163925,6592679.853640
DynaCol/DCBO,DYNACOL_DCBO,1000,Burst Load,6,1144,1408.801,738.794,6.821,2113.542,6102,68,,3956.138169,6773904.432686
DynaCol/DCBO,DYNACOL_DCBO,1000,Burst Load,7,1161,1328.427,713.141,2.931,2109.815,6095,67,,6291.360512,6945717.880000
DynaCol/DCBO,DYNACOL_DCBO,1000,Burst Load,8,1178,1304.420,692.828,1.080,2113.542,6102,68,,6693.192368,6588274.220738
DynaCol/DCBO,DYNACOL_DCBO,1000,Burst Load,9,1195,1408.420,736.839,6.841,2113.542,6102,68,,3950.135445,6767379.868867
DynaCol/DCBO,DYNACOL_DCBO,1000,Burst Load,10,1212,1332.420,715.991,3.074,2109.815,6095,67,,6314.686878,6945717.880000
DynaCol/DCBO,DYNACOL_DCBO,1000,Churn,1,1059,1317.420,708.260,2.509,2156.337,5984,67,,6120.147414,5119064.440000
DynaCol/DCBO,DYNACOL_DCBO,1000,Churn,2,1076,1294.420,691.925,0.809,2133.076,5906,68,,6440.192838,4781694.051274
DynaCol/DCBO,DYNACOL_DCBO,1000,Churn,3,1093,1402.420,735.177,4.847,2135.261,5910,69,,3810.417490,4941765.515365
DynaCol/DCBO,DYNACOL_DCBO,1000,Churn,4,1110,1318.420,712.142,2.550,2153.382,5976,67,,6094.105127,5119086.840000
DynaCol/DCBO,DYNACOL_DCBO,1000,Churn,5,1127,1292.420,689.120,0.787,2127.807,5894,68,,6469.048431,4776409.081519
DynaCol/DCBO,DYNACOL_DCBO,1000,Churn,6,1144,1402.420,734.808,4.747,2124.209,5884,70,,3827.004515,4943211.018253
DynaCol/DCBO,DYNACOL_DCBO,1000,Churn,7,1161,1322.420,712.071,2.526,2158.651,5992,67,,6129.230259,5119068.920000
DynaCol/DCBO,DYNACOL_DCBO,1000,Churn,8,1178,1293.420,689.507,0.645,2130.378,5899,68,,6432.494839,4817963.690045
DynaCol/DCBO,DYNACOL_DCBO,1000,Churn,9,1195,1408.420,735.059,5.004,2124.723,5886,72,,3817.215517,4955675.297248
DynaCol/DCBO,DYNACOL_DCBO,1000,Churn,10,1212,1317.420,708.547,2.533,2153.767,5980,67,,6111.091449,5119073.400000
