method,policy,nodes,scenario,trial,seed,p95_ms,mean_loop_ms,sla_pct,overhead_norm,control_messages,colonies,variant,mean_energy_per_req,total_cost
DynaCol-GNN,COLONY_GNN,100,Normal Load,1,159,289.220,39.571,14.111,1213.333,304,11,,780.067664,216773.040000
DynaCol-GNN,COLONY_GNN,100,Normal Load,2,176,257.220,32.095,11.041,1213.333,304,11,,813.717938,212879.260000
DynaCol-GNN,COLONY_GNN,100,Normal Load,3,193,257.220,32.201,11.040,1213.333,304,11,,813.709737,222788.060000
DynaCol-GNN,COLONY_GNN,100,Normal Load,4,210,257.220,32.095,11.041,1213.333,304,11,,811.518675,211028.000000
DynaCol-GNN,COLONY_GNN,100,Normal Load,5,227,247.220,30.228,10.295,1213.333,304,11,,758.758210,215539.040000
DynaCol-GNN,COLONY_GNN,100,Burst Load,1,159,342.220,50.828,17.734,1181.333,298,14,,997.516835,294327.000000
DynaCol-GNN,COLONY_GNN,100,Burst Load,2,176,229.220,28.703,8.981,1117.333,286,11,,1007.654884,289457.440000
DynaCol-GNN,COLONY_GNN,100,Burst Load,3,193,298.120,38.577,12.817,1117.333,286,11,,961.428245,297634.720000
DynaCol-GNN,COLONY_GNN,100,Burst Load,4,210,342.220,50.828,17.734,1181.333,298,14,,997.704754,297306.720000
DynaCol-GNN,COLONY_GNN,100,Burst Load,5,227,297.970,38.323,12.813,1117.333,286,11,,958.411653,285538.960000
DynaCol-GNN,COLONY_GNN,100,Churn,1,159,318.220,48.813,18.418,1189.333,300,14,,977.340757,195249.200000
DynaCol-GNN,COLONY_GNN,100,Churn,2,176,222.220,27.422,9.368,1117.333,286,11,,994.168451,194110.240000
DynaCol-GNN,COLONY_GNN,100,Churn,3,193,282.220,36.902,13.340,1130.667,289,11,,946.530943,199253.600000
DynaCol-GNN,COLONY_GNN,100,Churn,4,210,318.220,48.813,18.418,1189.333,300,14,,980.117847,196677.320000
DynaCol-GNN,COLONY_GNN,100,Churn,5,227,282.220,36.779,13.341,1117.333,286,11,,943.871883,196463.560000
DynaCol-GNN,COLONY_GNN,300,Normal Load,1,359,7.220,4.467,0.000,1023.135,828,21,,1677.127842,549239.160000
DynaCol-GNN,COLONY_GNN,300,Normal Load,2,376,7.220,5.230,0.000,1023.135,828,21,,870.946657,693793.840000
DynaCol-GNN,COLONY_GNN,300,Normal Load,3,393,7.220,11.734,2.415,1038.270,837,22,,1625.503244,553795.720000
DynaCol-GNN,COLONY_GNN,300,Normal Load,4,410,7.220,4.467,0.000,1023.135,828,21,,1675.596170,546669.840000
DynaCol-GNN,COLONY_GNN,300,Normal Load,5,427,7.220,5.293,0.000,1023.135,828,21,,946.006521,711434.120000
DynaCol-GNN,COLONY_GNN,300,Burst Load,1,359,8.220,5.369,0.000,1030.054,832,22,,1217.294412,981386.780000
DynaCol-GNN,COLONY_GNN,300,Burst Load,2,376,8.220,5.918,0.000,1023.135,828,21,,878.292266,1031129.120000
DynaCol-GNN,COLONY_GNN,300,Burst Load,3,393,7.220,11.938,2.397,1038.270,837,22,,1639.563058,874683.720000
DynaCol-GNN,COLONY_GNN,300,Burst Load,4,410,8.220,5.403,0.000,1030.054,832,22,,1136.179741,978632.520000
DynaCol-GNN,COLONY_GNN,300,Burst Load,5,427,8.220,6.041,0.000,1023.135,828,21,,954.040238,1052967.880000
DynaCol-GNN,COLONY_GNN,300,Churn,1,359,7.220,4.908,0.000,1209.514,990,24,,1252.373590,641289.420000
DynaCol-GNN,COLONY_GNN,300,Churn,2,376,7.220,5.229,0.000,1196.541,981,23,,870.991409,725178.800000
DynaCol-GNN,COLONY_GNN,300,Churn,3,393,7.220,11.734,2.479,1219.027,996,21,,1625.503244,535784.720000
DynaCol-GNN,COLONY_GNN,300,Churn,4,410,7.220,4.929,0.000,1199.135,982,25,,1163.878512,611028.080000
DynaCol-GNN,COLONY_GNN,300,Churn,5,427,7.220,5.799,0.056,1192.216,978,24,,945.476294,732889.560000
DynaCol-GNN,COLONY_GNN,500,Normal Load,1,559,7.220,5.211,0.000,1406.968,1842,34,,857.029758,1321324.240000
DynaCol-GNN,COLONY_GNN,500,Normal Load,2,576,7.220,9.518,1.426,1416.000,1843,34,,1607.577891,1008791.040000
DynaCol-GNN,COLONY_GNN,500,Normal Load,3,593,7.220,4.468,0.000,1415.484,1842,34,,1683.649854,980592.920000
DynaCol-GNN,COLONY_GNN,500,Normal Load,4,610,7.220,5.211,0.000,1406.968,1842,34,,857.029758,1320717.960000
DynaCol-GNN,COLONY_GNN,500,Normal Load,5,627,7.220,9.518,1.426,1416.000,1843,34,,1607.577891,972697.240000
DynaCol-GNN,COLONY_GNN,500,Burst Load,1,559,8.220,5.910,0.000,1142.968,1586,35,,877.845809,1989560.480000
DynaCol-GNN,COLONY_GNN,500,Burst Load,2,576,7.220,9.626,1.414,1160.000,1595,35,,1622.486393,1665097.240000
DynaCol-GNN,COLONY_GNN,500,Burst Load,3,593,7.220,4.450,0.000,1218.323,1651,35,,1697.905330,1680514.320000
DynaCol-GNN,COLONY_GNN,500,Burst Load,4,610,8.220,5.910,0.000,1142.968,1586,35,,877.845809,1988654.600000
DynaCol-GNN,COLONY_GNN,500,Burst Load,5,627,7.220,9.626,1.414,1160.000,1595,35,,1622.486393,1678337.920000
DynaCol-GNN,COLONY_GNN,500,Churn,1,559,7.220,5.221,0.000,1226.581,1672,38,,871.870129,1469911.600000
DynaCol-GNN,COLONY_GNN,500,Churn,2,576,7.220,9.518,1.466,1333.935,1775,35,,1615.141276,1081251.720000
DynaCol-GNN,COLONY_GNN,500,Churn,3,593,7.220,4.468,0.000,1466.323,1906,34,,1687.803755,1061915.320000
DynaCol-GNN,COLONY_GNN,500,Churn,4,610,7.220,5.221,0.000,1210.065,1651,38,,871.846905,1482531.400000
DynaCol-GNN,COLONY_GNN,500,Churn,5,627,7.220,9.518,1.466,1327.484,1766,34,,1615.141276,1083498.840000
