method,policy,nodes,scenario,trial,seed,p95_ms,mean_loop_ms,sla_pct,overhead_norm,control_messages,colonies,variant,mean_energy_per_req,total_cost
DynaCol-GNN,COLONY_GNN,100,Normal Load,1,159,788.340,408.361,11.181,1745.333,461,7,,3268.880656,667260.920000
DynaCol-GNN,COLONY_GNN,100,Normal Load,2,176,745.585,405.114,9.373,1784.000,468,8,,5413.672392,588677.751273
DynaCol-GNN,COLONY_GNN,100,Normal Load,3,193,783.428,414.954,12.666,1784.000,468,8,,3680.366024,527174.887219
DynaCol-GNN,COLONY_GNN,100,Normal Load,4,210,782.817,408.999,11.115,1745.333,461,7,,3671.753623,667256.440000
DynaCol-GNN,COLONY_GNN,100,Normal Load,5,227,722.420,393.769,7.380,1784.000,468,8,,5034.425824,563253.137344
DynaCol-GNN,COLONY_GNN,100,Burst Load,1,159,791.268,419.116,24.785,1745.333,461,7,,3185.699581,761499.960000
DynaCol-GNN,COLONY_GNN,100,Burst Load,2,176,732.258,406.516,24.501,1784.000,468,8,,5500.096712,666541.794621
DynaCol-GNN,COLONY_GNN,100,Burst Load,3,193,788.384,417.319,27.848,1784.000,468,8,,3791.307828,629076.139908
DynaCol-GNN,COLONY_GNN,100,Burst Load,4,210,792.406,415.792,23.617,1745.333,461,7,,3761.757494,761508.920000
DynaCol-GNN,COLONY_GNN,100,Burst Load,5,227,721.935,388.795,21.215,1784.000,468,8,,5145.346338,664331.062969
DynaCol-GNN,COLONY_GNN,100,Churn,1,159,785.344,415.500,21.631,1753.333,463,7,,3132.903923,667265.400000
DynaCol-GNN,COLONY_GNN,100,Churn,2,176,758.223,402.830,19.519,1784.000,468,8,,5388.881677,573135.267925
DynaCol-GNN,COLONY_GNN,100,Churn,3,193,778.118,416.707,24.208,1797.333,471,8,,3634.894320,533316.166027
DynaCol-GNN,COLONY_GNN,100,Churn,4,210,787.620,413.267,21.325,1753.333,463,7,,3604.278825,667265.400000
DynaCol-GNN,COLONY_GNN,100,Churn,5,227,717.420,391.264,19.055,1784.000,468,8,,4997.015016,579093.777545
DynaCol-GNN,COLONY_GNN,300,Normal Load,1,359,845.901,462.595,2.341,1796.324,1452,21,,6749.382067,1214803.604018
DynaCol-GNN,COLONY_GNN,300,Normal Load,2,376,902.420,477.945,5.096,1796.324,1452,21,,3818.166065,1166821.367701
DynaCol-GNN,COLONY_GNN,300,Normal Load,3,393,937.942,482.321,6.135,1783.784,1445,20,,5197.494461,1360235.960000
DynaCol-GNN,COLONY_GNN,300,Normal Load,4,410,846.497,458.468,2.185,1796.324,1452,21,,6521.067737,1229357.767366
DynaCol-GNN,COLONY_GNN,300,Normal Load,5,427,904.420,479.682,5.231,1796.324,1452,21,,3876.834079,1177183.362009
DynaCol-GNN,COLONY_GNN,300,Burst Load,1,359,854.420,461.112,14.921,1796.324,1452,21,,7020.859483,1566253.576407
DynaCol-GNN,COLONY_GNN,300,Burst Load,2,376,893.296,478.676,18.251,1796.324,1452,21,,3950.563317,1509192.226133
DynaCol-GNN,COLONY_GNN,300,Burst Load,3,393,953.234,482.717,17.511,1783.784,1445,20,,5368.451585,1707304.440000
DynaCol-GNN,COLONY_GNN,300,Burst Load,4,410,850.430,459.967,14.464,1796.324,1452,21,,6672.145704,1566535.005939
DynaCol-GNN,COLONY_GNN,300,Burst Load,5,427,896.184,480.839,18.320,1796.324,1452,21,,3989.974900,1520498.482344
DynaCol-GNN,COLONY_GNN,300,Churn,1,359,852.420,463.377,11.612,2153.081,1770,21,,6753.367138,1223392.507188
DynaCol-GNN,COLONY_GNN,300,Churn,2,376,902.430,480.358,15.236,2139.243,1760,22,,3841.246886,1171494.125692
DynaCol-GNN,COLONY_GNN,300,Churn,3,393,945.286,483.069,14.592,2153.514,1778,20,,5177.887193,1360249.400000
DynaCol-GNN,COLONY_GNN,300,Churn,4,410,839.420,454.501,10.729,2144.865,1763,21,,6413.805314,1236762.028527
DynaCol-GNN,COLONY_GNN,300,Churn,5,427,897.420,480.205,15.023,2138.378,1759,22,,3881.658193,1167349.763013
