method,policy,nodes,scenario,trial,seed,p95_ms,mean_loop_ms,sla_pct,overhead_norm,control_messages,colonies,variant,mean_energy_per_req,total_cost
DynaCol-RL,COLONY_RL,100,Normal Load,1,159,791.933,417.672,11.839,1745.333,461,7,,3148.620833,667269.880000
DynaCol-RL,COLONY_RL,100,Normal Load,2,176,763.441,405.871,9.414,1784.000,468,8,,5404.349191,573279.238773
DynaCol-RL,COLONY_RL,100,Normal Load,3,193,782.258,410.991,11.026,1784.000,468,8,,4805.705100,481963.962009
DynaCol-RL,COLONY_RL,100,Normal Load,4,210,779.076,414.601,11.314,1745.333,461,7,,3660.332928,667269.880000
DynaCol-RL,COLONY_RL,100,Normal Load,5,227,724.420,391.045,7.664,1784.000,468,8,,4941.929811,578511.175536
DynaCol-RL,COLONY_RL,100,Burst Load,1,159,796.575,416.719,24.677,1745.333,461,7,,3373.879668,761499.960000
DynaCol-RL,COLONY_RL,100,Burst Load,2,176,747.821,410.729,25.334,1784.000,468,8,,5374.537712,673065.235291
DynaCol-RL,COLONY_RL,100,Burst Load,3,193,773.420,410.377,25.717,1784.000,468,8,,4857.911288,567291.082009
DynaCol-RL,COLONY_RL,100,Burst Load,4,210,788.592,412.240,23.327,1745.333,461,7,,3777.952928,761517.880000
DynaCol-RL,COLONY_RL,100,Burst Load,5,227,718.030,388.760,21.417,1784.000,468,8,,5030.051970,663541.827858
DynaCol-RL,COLONY_RL,100,Churn,1,159,791.540,414.249,21.396,1753.333,463,7,,3098.873038,667251.960000
DynaCol-RL,COLONY_RL,100,Churn,2,176,735.491,408.663,21.526,1784.000,468,8,,5361.262124,582146.420157
DynaCol-RL,COLONY_RL,100,Churn,3,193,772.420,405.080,21.649,1797.333,471,8,,4761.950577,473502.167567
DynaCol-RL,COLONY_RL,100,Churn,4,210,791.574,420.212,22.270,1753.333,463,7,,3684.687393,667260.920000
DynaCol-RL,COLONY_RL,100,Churn,5,227,718.420,388.638,18.822,1784.000,468,8,,4908.433936,577893.298884
DynaCol-RL,COLONY_RL,300,Normal Load,1,359,849.420,465.413,2.815,1796.324,1452,21,,6851.808792,1221912.716697
DynaCol-RL,COLONY_RL,300,Normal Load,2,376,886.489,475.776,4.427,1796.324,1452,21,,4315.123042,1103121.920000
DynaCol-RL,COLONY_RL,300,Normal Load,3,393,953.140,479.451,6.126,1783.784,1445,20,,5203.011134,1360249.400000
DynaCol-RL,COLONY_RL,300,Normal Load,4,410,842.420,457.257,1.950,1796.324,1452,21,,6497.606217,1226108.026384
DynaCol-RL,COLONY_RL,300,Normal Load,5,427,899.420,481.223,4.986,1796.324,1452,21,,4073.345018,1147283.922679
DynaCol-RL,COLONY_RL,300,Burst Load,1,359,855.251,461.984,14.794,1796.324,1452,21,,7113.089852,1569091.404353
DynaCol-RL,COLONY_RL,300,Burst Load,2,376,877.242,473.120,17.303,1796.324,1452,21,,4464.742939,1458198.281339
DynaCol-RL,COLONY_RL,300,Burst Load,3,393,952.260,482.229,17.515,1783.784,1445,20,,5393.130339,1707317.880000
DynaCol-RL,COLONY_RL,300,Burst Load,4,410,847.420,461.848,14.397,1796.324,1452,21,,6711.588213,1534929.001339
DynaCol-RL,COLONY_RL,300,Burst Load,5,427,891.420,480.038,18.256,1796.324,1452,21,,4227.188156,1498650.281339
DynaCol-RL,COLONY_RL,300,Churn,1,359,847.036,457.956,11.281,2153.081,1770,21,,6815.066222,1219296.568170
DynaCol-RL,COLONY_RL,300,Churn,2,376,879.420,470.232,14.259,2139.243,1760,22,,4265.770566,1102480.206362
DynaCol-RL,COLONY_RL,300,Churn,3,393,949.920,484.451,14.885,2153.514,1778,20,,5180.232251,1360253.880000
DynaCol-RL,COLONY_RL,300,Churn,4,410,842.430,461.174,11.342,2144.865,1763,21,,6529.754221,1210465.170714
DynaCol-RL,COLONY_RL,300,Churn,5,427,899.670,482.240,15.454,2138.378,1759,22,,4066.586683,1143914.604018
