method,policy,nodes,scenario,trial,seed,p95_ms,mean_loop_ms,sla_pct,overhead_norm,control_messages,colonies,variant,mean_energy_per_req,total_cost
DynaCol/DCBO,DYNACOL_DCBO,100,Normal Load,1,159,795.500,437.535,13.072,1745.333,461,7,,3290.589406,667260.920000
DynaCol/DCBO,DYNACOL_DCBO,100,Normal Load,2,176,718.420,392.813,7.812,1784.000,468,8,,5215.720936,581666.025916
DynaCol/DCBO,DYNACOL_DCBO,100,Normal Load,3,193,792.420,418.773,12.641,1784.000,468,8,,3419.679001,589330.762679
DynaCol/DCBO,DYNACOL_DCBO,100,Normal Load,4,210,797.292,442.235,13.852,1745.333,461,7,,3326.634731,667265.400000
DynaCol/DCBO,DYNACOL_DCBO,100,Normal Load,5,227,722.420,393.855,8.658,1784.000,468,8,,5094.359464,571396.901094
DynaCol/DCBO,DYNACOL_DCBO,100,Burst Load,1,159,788.310,440.773,28.464,1745.333,461,7,,3456.022102,761508.920000
DynaCol/DCBO,DYNACOL_DCBO,100,Burst Load,2,176,730.429,400.008,22.717,1784.000,468,8,,5309.499301,669947.856273
DynaCol/DCBO,DYNACOL_DCBO,100,Burst Load,3,193,800.420,423.609,28.500,1784.000,468,8,,3430.230892,689250.886027
DynaCol/DCBO,DYNACOL_DCBO,100,Burst Load,4,210,791.130,435.255,28.057,1745.333,461,7,,3372.700814,761526.840000
DynaCol/DCBO,DYNACOL_DCBO,100,Burst Load,5,227,729.420,403.001,24.360,1784.000,468,8,,5260.310480,689118.018817
DynaCol/DCBO,DYNACOL_DCBO,100,Churn,1,159,791.637,438.149,25.308,1753.333,463,7,,3309.095357,667269.880000
DynaCol/DCBO,DYNACOL_DCBO,100,Churn,2,176,727.420,399.863,20.534,1784.000,468,8,,5238.940618,588683.221630
DynaCol/DCBO,DYNACOL_DCBO,100,Churn,3,193,783.740,416.469,24.603,1797.333,471,8,,3401.147504,592501.322731
DynaCol/DCBO,DYNACOL_DCBO,100,Churn,4,210,790.370,439.676,26.089,1753.333,463,7,,3387.684883,667269.880000
DynaCol/DCBO,DYNACOL_DCBO,100,Churn,5,227,714.370,390.733,18.641,1784.000,468,8,,5116.508853,582820.855402
DynaCol/DCBO,DYNACOL_DCBO,300,Normal Load,1,359,842.420,454.605,2.034,1796.324,1452,21,,6230.953047,1198469.303751
DynaCol/DCBO,DYNACOL_DCBO,300,Normal Load,2,376,904.420,481.513,5.310,1796.324,1452,21,,3696.020942,1268075.038043
DynaCol/DCBO,DYNACOL_DCBO,300,Normal Load,3,393,947.530,490.180,6.026,1783.784,1445,20,,5315.857232,1360249.400000
DynaCol/DCBO,DYNACOL_DCBO,300,Normal Load,4,410,838.420,456.506,1.811,1796.324,1452,21,,6151.641884,1227068.133326
DynaCol/DCBO,DYNACOL_DCBO,300,Normal Load,5,427,907.420,483.026,5.458,1796.324,1452,21,,3686.887120,1275031.403536
DynaCol/DCBO,DYNACOL_DCBO,300,Burst Load,1,359,849.738,457.710,14.556,1796.324,1452,21,,6403.851636,1568654.575247
DynaCol/DCBO,DYNACOL_DCBO,300,Burst Load,2,376,898.679,483.768,18.838,1796.324,1452,21,,3814.824256,1608200.882867
DynaCol/DCBO,DYNACOL_DCBO,300,Burst Load,3,393,950.487,489.254,18.492,1783.784,1445,20,,5428.064249,1707295.480000
DynaCol/DCBO,DYNACOL_DCBO,300,Burst Load,4,410,847.429,459.680,14.409,1796.324,1452,21,,6443.714498,1593195.022099
DynaCol/DCBO,DYNACOL_DCBO,300,Burst Load,5,427,898.420,480.192,18.413,1796.324,1452,21,,3785.283780,1607113.795365
DynaCol/DCBO,DYNACOL_DCBO,300,Churn,1,359,842.420,454.280,10.889,2153.081,1770,21,,6227.560514,1219493.730961
DynaCol/DCBO,DYNACOL_DCBO,300,Churn,2,376,902.420,480.720,16.042,2139.243,1760,22,,3706.801170,1267407.914025
DynaCol/DCBO,DYNACOL_DCBO,300,Churn,3,393,953.805,488.008,15.634,2153.514,1778,20,,5343.173222,1360253.880000
DynaCol/DCBO,DYNACOL_DCBO,300,Churn,4,410,842.420,458.140,11.288,2144.865,1763,21,,6148.335142,1223396.264376
DynaCol/DCBO,DYNACOL_DCBO,300,Churn,5,427,902.420,481.025,15.972,2138.378,1759,22,,3695.622879,1270677.316369
