method,policy,nodes,scenario,trial,seed,p95_ms,mean_loop_ms,sla_pct,overhead_norm,control_messages,colonies,variant,mean_energy_per_req,total_cost
Dyna-Bound,COLONY_GNN,500,Burst Load,1,559,8.220,5.958,0.000,1142.194,1586,35,,935.892410,2004005.440000
Dyna-Bound,COLONY_GNN,500,Burst Load,2,576,7.220,9.695,1.456,1158.968,1595,35,,1677.967997,1764706.600000
Dyna-Bound,COLONY_GNN,500,Burst Load,3,593,7.220,4.450,0.000,1217.806,1651,35,,1701.565046,1717308.120000
Dyna-Bound,COLONY_GNN,500,Burst Load,4,610,8.220,6.032,0.000,1140.903,1586,35,,953.042583,2028692.260000
Dyna-Bound,COLONY_GNN,500,Burst Load,5,627,7.220,14.552,2.782,1159.484,1595,35,,1601.193588,1701517.840000
Dyna-Bound,COLONY_GNN,500,Churn,1,559,7.220,6.505,0.114,1226.581,1672,38,,928.301676,1451014.920000
Dyna-Bound,COLONY_GNN,500,Churn,2,576,7.220,9.624,1.510,1333.935,1775,35,,1669.502764,1152808.000000
Dyna-Bound,COLONY_GNN,500,Churn,3,593,7.220,4.468,0.000,1466.323,1906,34,,1693.008652,1113639.640000
Dyna-Bound,COLONY_GNN,500,Churn,4,610,7.220,6.515,0.111,1210.065,1651,38,,945.199541,1483962.860000
Dyna-Bound,COLONY_GNN,500,Churn,5,627,7.220,14.353,2.883,1327.484,1766,34,,1592.189333,1108096.840000
Dyna-Bound,COLONY_GNN,500,Normal Load,1,559,7.220,5.235,0.000,1405.677,1842,34,,913.298626,1338648.020000
Dyna-Bound,COLONY_GNN,500,Normal Load,2,576,7.220,9.518,1.426,1414.968,1843,34,,1613.820685,1099188.200000
Dyna-Bound,COLONY_GNN,500,Normal Load,3,593,7.220,4.468,0.000,1414.710,1842,34,,1689.232379,1070603.160000
Dyna-Bound,COLONY_GNN,500,Normal Load,4,610,7.220,8.147,0.828,1404.903,1842,34,,951.641296,1358027.020000
Dyna-Bound,COLONY_GNN,500,Normal Load,5,627,7.220,9.561,1.426,1415.226,1843,34,,1614.680543,1089936.000000
