method,policy,nodes,scenario,trial,seed,p95_ms,mean_loop_ms,sla_pct,overhead_norm,control_messages,colonies,variant,mean_energy_per_req,total_cost
Dyna-Bound,COLONY_GNN,500,Normal Load,1,559,7.220,5.211,0.000,1406.452,1842,34,,884.277409,1339210.980000
Dyna-Bound,COLONY_GNN,500,Normal Load,2,576,7.220,7.833,0.752,1404.645,1843,34,,865.110292,1377793.440000
Dyna-Bound,COLONY_GNN,500,Normal Load,3,593,7.220,5.176,0.000,1405.419,1842,34,,899.312424,1348585.240000
Dyna-Bound,COLONY_GNN,500,Normal Load,4,610,7.220,5.188,0.000,1404.903,1842,34,,885.744267,1367227.080000
Dyna-Bound,COLONY_GNN,500,Normal Load,5,627,7.220,7.892,0.776,1404.645,1843,34,,892.308069,1374363.040000
Dyna-Bound,COLONY_GNN,500,Burst Load,1,559,8.220,5.910,0.000,1141.677,1586,35,,879.235603,2026933.360000
Dyna-Bound,COLONY_GNN,500,Burst Load,2,576,7.220,9.695,1.456,1158.968,1595,35,,1677.967997,1734745.320000
Dyna-Bound,COLONY_GNN,500,Burst Load,3,593,7.220,4.534,0.000,1217.548,1651,35,,1652.501838,1700426.280000
Dyna-Bound,COLONY_GNN,500,Burst Load,4,610,8.220,5.910,0.000,1140.645,1586,35,,880.187679,2036352.260000
Dyna-Bound,COLONY_GNN,500,Burst Load,5,627,7.220,14.552,2.782,1159.484,1595,35,,1601.193588,1705483.440000
Dyna-Bound,COLONY_GNN,500,Churn,1,559,7.220,6.474,0.115,1226.581,1672,38,,872.142324,1480513.960000
Dyna-Bound,COLONY_GNN,500,Churn,2,576,7.220,9.624,1.510,1333.935,1775,35,,1669.750024,1169708.520000
Dyna-Bound,COLONY_GNN,500,Churn,3,593,7.220,4.953,0.000,1466.323,1906,34,,1147.620703,1205965.240000
Dyna-Bound,COLONY_GNN,500,Churn,4,610,7.220,6.423,0.111,1210.065,1651,38,,873.004765,1497884.700000
Dyna-Bound,COLONY_GNN,500,Churn,5,627,7.220,14.353,2.883,1327.484,1766,34,,1592.307342,1127815.080000
