method,policy,nodes,scenario,trial,seed,p95_ms,mean_loop_ms,sla_pct,overhead_norm,control_messages,colonies,variant,mean_energy_per_req,total_cost
DynaCol-RL,COLONY_RL,500,Normal Load,1,559,7.220,5.063,0.000,1406.452,1842,34,,1028.958754,1329602.800000
DynaCol-RL,COLONY_RL,500,Normal Load,2,576,7.220,7.833,0.752,1404.645,1843,34,,865.110292,1371109.440000
DynaCol-RL,COLONY_RL,500,Normal Load,3,593,7.220,5.176,0.000,1405.419,1842,34,,899.312424,1354597.160000
DynaCol-RL,COLONY_RL,500,Normal Load,4,610,7.220,5.078,0.000,1404.903,1842,34,,1012.254631,1355529.240000
DynaCol-RL,COLONY_RL,500,Normal Load,5,627,7.220,7.892,0.776,1404.645,1843,34,,892.308069,1371613.200000
DynaCol-RL,COLONY_RL,500,Burst Load,1,559,8.220,5.865,0.000,1141.677,1586,35,,907.104767,2013630.760000
DynaCol-RL,COLONY_RL,500,Burst Load,2,576,7.220,9.695,1.456,1158.968,1595,35,,1677.967997,1777041.400000
DynaCol-RL,COLONY_RL,500,Burst Load,3,593,7.220,4.534,0.000,1217.548,1651,35,,1652.501838,1713881.080000
DynaCol-RL,COLONY_RL,500,Burst Load,4,610,8.220,5.865,0.000,1140.645,1586,35,,908.087042,2038536.740000
DynaCol-RL,COLONY_RL,500,Burst Load,5,627,7.220,14.552,2.782,1159.484,1595,35,,1601.193588,1727347.120000
DynaCol-RL,COLONY_RL,500,Churn,1,559,7.220,8.342,0.291,1226.581,1672,38,,912.723386,1511713.760000
DynaCol-RL,COLONY_RL,500,Churn,2,576,7.220,9.624,1.510,1333.935,1775,35,,1669.750024,1165935.320000
DynaCol-RL,COLONY_RL,500,Churn,3,593,7.220,4.953,0.000,1466.323,1906,34,,1147.620703,1209451.520000
DynaCol-RL,COLONY_RL,500,Churn,4,610,7.220,7.714,0.232,1210.065,1651,38,,899.639094,1517824.340000
DynaCol-RL,COLONY_RL,500,Churn,5,627,7.220,14.353,2.883,1327.484,1766,34,,1592.307342,1116050.080000
