method,policy,nodes,scenario,trial,seed,p95_ms,mean_loop_ms,sla_pct,overhead_norm,control_messages,colonies,variant,mean_energy_per_req,total_cost
DynaCol-GNN,COLONY_GNN,500,Burst Load,1,559,8.220,5.910,0.000,1141.677,1586,35,,879.235603,2013145.960000
DynaCol-GNN,COLONY_GNN,500,Burst Load,2,576,7.220,9.695,1.456,1158.968,1595,35,,1677.967997,1786824.880000
DynaCol-GNN,COLONY_GNN,500,Burst Load,3,593,7.220,4.534,0.000,1217.548,1651,35,,1652.501838,1722721.880000
DynaCol-GNN,COLONY_GNN,500,Burst Load,4,610,8.220,5.910,0.000,1140.645,1586,35,,880.187679,2033291.660000
DynaCol-GNN,COLONY_GNN,500,Burst Load,5,627,7.220,14.552,2.782,1159.484,1595,35,,1601.193588,1716193.880000
DynaCol-GNN,COLONY_GNN,500,Churn,1,559,7.220,6.380,0.107,1226.581,1672,38,,872.247234,1478316.920000
DynaCol-GNN,COLONY_GNN,500,Churn,2,576,7.220,9.624,1.510,1333.935,1775,35,,1669.750024,1106702.080000
DynaCol-GNN,COLONY_GNN,500,Churn,3,593,7.220,4.953,0.000,1466.323,1906,34,,1147.620703,1207669.520000
DynaCol-GNN,COLONY_GNN,500,Churn,4,610,7.220,6.391,0.108,1210.065,1651,38,,873.051220,1498397.620000
DynaCol-GNN,COLONY_GNN,500,Churn,5,627,7.220,14.353,2.883,1327.484,1766,34,,1592.307342,1104938.760000
DynaCol-GNN,COLONY_GNN,500,Normal Load,1,559,7.220,5.211,0.000,1406.452,1842,34,,884.277409,1328082.260000
DynaCol-GNN,COLONY_GNN,500,Normal Load,2,576,7.220,7.833,0.752,1404.645,1843,34,,865.110292,1372515.400000
DynaCol-GNN,COLONY_GNN,500,Normal Load,3,593,7.220,5.176,0.000,1405.419,1842,34,,899.312424,1345197.720000
DynaCol-GNN,COLONY_GNN,500,Normal Load,4,610,7.220,5.188,0.000,1404.903,1842,34,,885.744267,1358273.440000
DynaCol-GNN,COLONY_GNN,500,Normal Load,5,627,7.220,7.892,0.776,1404.645,1843,34,,892.308069,1379169.920000
