method,policy,nodes,scenario,trial,seed,p95_ms,mean_loop_ms,sla_pct,overhead_norm,control_messages,colonies,variant,mean_energy_per_req,total_cost
Dyna-Bound,COLONY_GNN,500,Burst Load,1,559,8.220,5.910,0.000,1142.968,1586,35,,877.845809,1991734.280000
Dyna-Bound,COLONY_GNN,500,Burst Load,2,576,7.220,9.626,1.414,1160.000,1595,35,,1622.486393,1638416.720000
Dyna-Bound,COLONY_GNN,500,Burst Load,3,593,7.220,4.450,0.000,1218.323,1651,35,,1697.905330,1659896.840000
Dyna-Bound,COLONY_GNN,500,Burst Load,4,610,8.220,5.910,0.000,1142.968,1586,35,,877.845809,1998340.880000
Dyna-Bound,COLONY_GNN,500,Burst Load,5,627,7.220,9.626,1.414,1160.000,1595,35,,1622.486393,1674898.120000
Dyna-Bound,COLONY_GNN,500,Churn,1,559,7.220,5.221,0.000,1226.581,1672,38,,871.870359,1471574.400000
Dyna-Bound,COLONY_GNN,500,Churn,2,576,7.220,9.518,1.466,1333.935,1775,35,,1615.141276,1060817.520000
Dyna-Bound,COLONY_GNN,500,Churn,3,593,7.220,4.468,0.000,1466.323,1906,34,,1687.803755,1055135.320000
Dyna-Bound,COLONY_GNN,500,Churn,4,610,7.220,5.222,0.000,1210.065,1651,38,,871.847346,1482313.760000
Dyna-Bound,COLONY_GNN,500,Churn,5,627,7.220,9.621,1.491,1327.484,1766,34,,1614.735818,1212771.880000
Dyna-Bound,COLONY_GNN,500,Normal Load,1,559,7.220,5.211,0.000,1406.968,1842,34,,857.029758,1321284.240000
Dyna-Bound,COLONY_GNN,500,Normal Load,2,576,7.220,9.518,1.426,1416.000,1843,34,,1607.577891,1004862.720000
Dyna-Bound,COLONY_GNN,500,Normal Load,3,593,7.220,4.468,0.000,1415.484,1842,34,,1683.649854,1026239.160000
Dyna-Bound,COLONY_GNN,500,Normal Load,4,610,7.220,5.211,0.000,1406.968,1842,34,,857.029758,1318691.360000
Dyna-Bound,COLONY_GNN,500,Normal Load,5,627,7.220,9.518,1.426,1416.000,1843,34,,1607.577891,1016595.320000
