method,policy,nodes,scenario,trial,seed,p95_ms,mean_loop_ms,sla_pct,overhead_norm,control_messages,colonies,variant,mean_energy_per_req,total_cost
DynaCol/DCBO,DYNACOL_DCBO,500,Burst Load,1,559,8.220,5.910,0.000,1142.968,1586,35,,877.845809,1996667.800000
DynaCol/DCBO,DYNACOL_DCBO,500,Burst Load,2,576,7.220,9.626,1.414,1160.000,1595,35,,1622.486393,1687392.120000
DynaCol/DCBO,DYNACOL_DCBO,500,Burst Load,3,593,7.220,4.450,0.000,1218.323,1651,35,,1697.905330,1671152.720000
DynaCol/DCBO,DYNACOL_DCBO,500,Burst Load,4,610,8.220,5.910,0.000,1142.968,1586,35,,877.845809,1988624.080000
DynaCol/DCBO,DYNACOL_DCBO,500,Burst Load,5,627,7.220,9.626,1.414,1160.000,1595,35,,1622.486393,1672513.920000
DynaCol/DCBO,DYNACOL_DCBO,500,Churn,1,559,7.220,5.221,0.000,1226.581,1672,38,,871.858700,1474272.280000
DynaCol/DCBO,DYNACOL_DCBO,500,Churn,2,576,7.220,9.581,1.481,1333.935,1775,35,,1614.897977,1160428.880000
DynaCol/DCBO,DYNACOL_DCBO,500,Churn,3,593,7.220,4.468,0.000,1466.323,1906,34,,1687.803755,1044004.920000
DynaCol/DCBO,DYNACOL_DCBO,500,Churn,4,610,7.220,5.221,0.000,1210.065,1651,38,,871.870653,1478659.480000
DynaCol/DCBO,DYNACOL_DCBO,500,Churn,5,627,7.220,9.518,1.466,1327.484,1766,34,,1615.141276,1052501.040000
DynaCol/DCBO,DYNACOL_DCBO,500,Normal Load,1,559,7.220,5.211,0.000,1406.968,1842,34,,857.029758,1319681.840000
DynaCol/DCBO,DYNACOL_DCBO,500,Normal Load,2,576,7.220,9.518,1.426,1416.000,1843,34,,1607.577891,986420.520000
DynaCol/DCBO,DYNACOL_DCBO,500,Normal Load,3,593,7.220,4.468,0.000,1415.484,1842,34,,1683.649854,996546.320000
DynaCol/DCBO,DYNACOL_DCBO,500,Normal Load,4,610,7.220,5.211,0.000,1406.968,1842,34,,857.029758,1327849.520000
DynaCol/DCBO,DYNACOL_DCBO,500,Normal Load,5,627,7.220,9.518,1.426,1416.000,1843,34,,1607.577891,1003354.120000
