method,policy,nodes,scenario,trial,seed,p95_ms,mean_loop_ms,sla_pct,overhead_norm,control_messages,colonies,variant,mean_energy_per_req,total_cost
Dyna-Bound,COLONY_GNN,100,Normal Load,1,159,794.230,414.182,11.652,1745.333,461,7,,3294.043488,667265.400000
Dyna-Bound,COLONY_GNN,100,Normal Load,2,176,724.082,401.489,7.887,1784.000,468,8,,5419.905751,571994.826451
Dyna-Bound,COLONY_GNN,100,Normal Load,3,193,782.420,414.547,12.727,1784.000,468,8,,3721.097348,525155.726362
Dyna-Bound,COLONY_GNN,100,Normal Load,4,210,776.220,408.313,11.078,1745.333,461,7,,3559.310507,667260.920000
Dyna-Bound,COLONY_GNN,100,Normal Load,5,227,728.920,397.883,7.672,1784.000,468,8,,5050.631057,573268.134264
Dyna-Bound,COLONY_GNN,100,Burst Load,1,159,787.012,411.551,22.791,1745.333,461,7,,3293.302535,761499.960000
Dyna-Bound,COLONY_GNN,100,Burst Load,2,176,750.873,406.953,24.085,1784.000,468,8,,5522.122271,663474.962121
Dyna-Bound,COLONY_GNN,100,Burst Load,3,193,783.420,411.189,26.967,1784.000,468,8,,3777.952928,626465.929710
Dyna-Bound,COLONY_GNN,100,Burst Load,4,210,782.230,412.605,24.088,1745.333,461,7,,3708.286489,761517.880000
Dyna-Bound,COLONY_GNN,100,Burst Load,5,227,719.298,387.544,21.285,1784.000,468,8,,5123.497734,687926.253795
Dyna-Bound,COLONY_GNN,100,Churn,1,159,784.217,414.192,21.063,1753.333,463,7,,3188.071890,667269.880000
Dyna-Bound,COLONY_GNN,100,Churn,2,176,732.651,402.402,20.344,1784.000,468,8,,5395.058046,553237.241519
Dyna-Bound,COLONY_GNN,100,Churn,3,193,787.420,418.986,24.409,1797.333,471,8,,3706.447358,536029.609143
Dyna-Bound,COLONY_GNN,100,Churn,4,210,792.000,412.307,21.573,1753.333,463,7,,3666.034381,667251.960000
Dyna-Bound,COLONY_GNN,100,Churn,5,227,716.814,393.806,18.457,1784.000,468,8,,5007.646963,585421.712077
