method,policy,nodes,scenario,trial,seed,p95_ms,mean_loop_ms,sla_pct,overhead_norm,control_messages,colonies,variant,mean_energy_per_req,total_cost
DynaCol-RL,COLONY_RL,100,Normal Load,1,159,780.245,407.379,10.618,1745.333,461,7,,3266.612176,667265.400000
DynaCol-RL,COLONY_RL,100,Normal Load,2,176,745.008,405.639,9.871,1784.000,468,8,,5499.051571,560810.987791
DynaCol-RL,COLONY_RL,100,Normal Load,3,193,764.870,399.610,9.919,1784.000,468,8,,4764.360471,470087.241339
DynaCol-RL,COLONY_RL,100,Normal Load,4,210,785.520,410.439,11.413,1745.333,461,7,,3605.659245,667256.440000
DynaCol-RL,COLONY_RL,100,Normal Load,5,227,719.037,386.272,6.988,1784.000,468,8,,4983.788401,584705.418081
DynaCol-RL,COLONY_RL,100,Burst Load,1,159,784.219,419.476,24.454,1745.333,461,7,,3242.415092,761517.880000
DynaCol-RL,COLONY_RL,100,Burst Load,2,176,755.886,407.575,24.329,1784.000,468,8,,5512.661182,654422.535536
DynaCol-RL,COLONY_RL,100,Burst Load,3,193,762.020,404.783,24.987,1784.000,468,8,,5045.828400,566489.167031
DynaCol-RL,COLONY_RL,100,Burst Load,4,210,788.856,411.811,23.885,1745.333,461,7,,3712.565281,761513.400000
DynaCol-RL,COLONY_RL,100,Burst Load,5,227,729.420,396.842,22.718,1784.000,468,8,,4950.087041,666533.178951
DynaCol-RL,COLONY_RL,100,Churn,1,159,786.374,415.842,21.164,1753.333,463,7,,3113.219673,667278.840000
DynaCol-RL,COLONY_RL,100,Churn,2,176,743.302,401.032,20.160,1784.000,468,8,,5376.571268,574975.464108
DynaCol-RL,COLONY_RL,100,Churn,3,193,763.420,401.963,21.436,1797.333,471,8,,4827.885277,465404.647366
DynaCol-RL,COLONY_RL,100,Churn,4,210,792.245,414.597,21.882,1753.333,463,7,,3691.912271,667260.920000
DynaCol-RL,COLONY_RL,100,Churn,5,227,721.950,391.594,19.003,1784.000,468,8,,4941.929811,574373.786652
