method,policy,nodes,scenario,trial,seed,p95_ms,mean_loop_ms,sla_pct,overhead_norm,control_messages,colonies,variant,mean_energy_per_req,total_cost
DynaCol/DCBO,DYNACOL_DCBO,100,Normal Load,1,159,788.720,435.921,13.604,1745.333,461,7,,3300.973454,667265.400000
DynaCol/DCBO,DYNACOL_DCBO,100,Normal Load,2,176,721.140,394.174,7.385,1784.000,468,8,,5150.096439,587094.188594
DynaCol/DCBO,DYNACOL_DCBO,100,Normal Load,3,193,798.222,419.111,13.333,1784.000,468,8,,3356.283882,596413.493058
DynaCol/DCBO,DYNACOL_DCBO,100,Normal Load,4,210,790.219,440.696,13.860,1745.333,461,7,,3303.289926,667260.920000
DynaCol/DCBO,DYNACOL_DCBO,100,Normal Load,5,227,718.680,397.402,7.968,1784.000,468,8,,4968.008596,579726.852857
DynaCol/DCBO,DYNACOL_DCBO,100,Burst Load,1,159,789.701,437.531,28.398,1745.333,461,7,,3346.972861,761508.920000
DynaCol/DCBO,DYNACOL_DCBO,100,Burst Load,2,176,729.420,396.127,22.505,1784.000,468,8,,5234.636513,672412.877367
DynaCol/DCBO,DYNACOL_DCBO,100,Burst Load,3,193,798.420,423.482,28.234,1784.000,468,8,,3402.421477,686448.765880
DynaCol/DCBO,DYNACOL_DCBO,100,Burst Load,4,210,792.462,438.218,28.346,1745.333,461,7,,3390.470576,761513.400000
DynaCol/DCBO,DYNACOL_DCBO,100,Burst Load,5,227,729.420,403.142,23.396,1784.000,468,8,,5338.866001,680670.949398
DynaCol/DCBO,DYNACOL_DCBO,100,Churn,1,159,787.514,436.994,25.857,1753.333,463,7,,3325.459657,667269.880000
DynaCol/DCBO,DYNACOL_DCBO,100,Churn,2,176,726.399,393.677,20.207,1784.000,468,8,,5127.655931,609396.249509
DynaCol/DCBO,DYNACOL_DCBO,100,Churn,3,193,791.841,419.069,24.777,1797.333,471,8,,3356.283882,594849.288706
DynaCol/DCBO,DYNACOL_DCBO,100,Churn,4,210,783.760,434.544,24.261,1753.333,463,7,,3393.791020,667260.920000
DynaCol/DCBO,DYNACOL_DCBO,100,Churn,5,227,724.475,398.479,19.869,1784.000,468,8,,5138.851687,588559.799711
