method,policy,nodes,scenario,trial,seed,p95_ms,mean_loop_ms,sla_pct,overhead_norm,control_messages,colonies,variant,mean_energy_per_req,total_cost
DynaCol-GNN,COLONY_GNN,100,Normal Load,1,159,791.246,408.512,11.157,1745.333,461,7,,3251.943451,667265.400000
DynaCol-GNN,COLONY_GNN,100,Normal Load,2,176,741.578,402.807,9.545,1784.000,468,8,,5349.077438,557841.780425
DynaCol-GNN,COLONY_GNN,100,Normal Load,3,193,773.420,411.578,11.929,1784.000,468,8,,3706.447358,537901.249911
DynaCol-GNN,COLONY_GNN,100,Normal Load,4,210,786.670,417.880,12.797,1745.333,461,7,,3661.756628,667269.880000
DynaCol-GNN,COLONY_GNN,100,Normal Load,5,227,722.420,386.720,7.260,1784.000,468,8,,4989.070636,577622.460893
DynaCol-GNN,COLONY_GNN,100,Burst Load,1,159,786.947,410.564,23.279,1745.333,461,7,,3425.361863,761504.440000
DynaCol-GNN,COLONY_GNN,100,Burst Load,2,176,741.794,408.792,24.608,1784.000,468,8,,5602.245926,647119.290894
DynaCol-GNN,COLONY_GNN,100,Burst Load,3,193,778.700,411.481,26.669,1784.000,468,8,,3725.461108,620962.164018
DynaCol-GNN,COLONY_GNN,100,Burst Load,4,210,794.911,423.061,23.868,1745.333,461,7,,3611.174609,761504.440000
DynaCol-GNN,COLONY_GNN,100,Burst Load,5,227,719.298,396.061,22.562,1784.000,468,8,,5006.571437,669297.987121
DynaCol-GNN,COLONY_GNN,100,Churn,1,159,787.699,412.948,21.394,1753.333,463,7,,3217.490188,667260.920000
DynaCol-GNN,COLONY_GNN,100,Churn,2,176,727.190,400.703,20.720,1784.000,468,8,,5463.944452,572637.699688
DynaCol-GNN,COLONY_GNN,100,Churn,3,193,779.027,412.706,23.669,1797.333,471,8,,3658.910334,534089.257133
DynaCol-GNN,COLONY_GNN,100,Churn,4,210,793.380,426.095,22.788,1753.333,463,7,,3605.659245,667265.400000
DynaCol-GNN,COLONY_GNN,100,Churn,5,227,721.809,389.729,18.677,1784.000,468,8,,4981.151476,578189.537612
DynaCol-GNN,COLONY_GNN,300,Normal Load,1,359,851.930,464.606,2.863,1796.324,1452,21,,6728.207535,1227233.932367
DynaCol-GNN,COLONY_GNN,300,Normal Load,2,376,907.420,480.488,5.308,1796.324,1452,21,,3794.521556,1161257.327366
DynaCol-GNN,COLONY_GNN,300,Normal Load,3,393,952.370,492.779,6.235,1783.784,1445,20,,5218.044165,1360249.400000
DynaCol-GNN,COLONY_GNN,300,Normal Load,4,410,843.425,459.453,2.211,1796.324,1452,21,,6484.100232,1221989.848371
DynaCol-GNN,COLONY_GNN,300,Normal Load,5,427,898.342,478.965,4.871,1796.324,1452,21,,3887.374921,1171868.209040
DynaCol-GNN,COLONY_GNN,300,Burst Load,1,359,854.420,462.185,15.058,1796.324,1452,21,,7019.459232,1564620.494599
DynaCol-GNN,COLONY_GNN,300,Burst Load,2,376,896.420,481.318,18.847,1796.324,1452,21,,3932.026432,1508599.446697
DynaCol-GNN,COLONY_GNN,300,Burst Load,3,393,953.893,492.789,18.774,1783.784,1445,20,,5380.762665,1707299.960000
DynaCol-GNN,COLONY_GNN,300,Burst Load,4,410,846.606,457.672,13.926,1796.324,1452,21,,6705.195007,1554042.170848
DynaCol-GNN,COLONY_GNN,300,Burst Load,5,427,893.170,480.570,18.412,1796.324,1452,21,,3970.619200,1509614.043013
DynaCol-GNN,COLONY_GNN,300,Churn,1,359,848.377,458.907,11.528,2153.081,1770,21,,6670.656771,1204663.898930
DynaCol-GNN,COLONY_GNN,300,Churn,2,376,907.420,481.031,15.554,2139.243,1760,22,,3864.608450,1161642.728371
DynaCol-GNN,COLONY_GNN,300,Churn,3,393,950.162,487.325,15.480,2153.514,1778,20,,5187.280186,1360244.920000
DynaCol-GNN,COLONY_GNN,300,Churn,4,410,842.420,455.563,11.179,2144.865,1763,21,,6534.728324,1219893.166027
DynaCol-GNN,COLONY_GNN,300,Churn,5,427,907.420,478.505,15.388,2138.378,1759,22,,3905.515414,1171764.203348
