method,policy,nodes,scenario,trial,seed,p95_ms,mean_loop_ms,sla_pct,overhead_norm,control_messages,colonies,variant,mean_energy_per_req,total_cost
DynaCol-RL,COLONY_RL,100,Normal Load,1,159,794.010,419.707,12.529,1745.333,461,7,,3162.370269,667260.920000
DynaCol-RL,COLONY_RL,100,Normal Load,2,176,751.832,404.193,9.252,1784.000,468,8,,5376.571268,562972.527010
DynaCol-RL,COLONY_RL,100,Normal Load,3,193,772.420,402.276,10.106,1784.000,468,8,,4757.138095,467855.767366
DynaCol-RL,COLONY_RL,100,Normal Load,4,210,786.982,412.192,11.720,1745.333,461,7,,3605.659245,667269.880000
DynaCol-RL,COLONY_RL,100,Normal Load,5,227,717.389,390.105,6.709,1784.000,468,8,,5012.979920,585666.974732
DynaCol-RL,COLONY_RL,100,Burst Load,1,159,785.184,416.918,24.594,1745.333,461,7,,3334.255520,761508.920000
DynaCol-RL,COLONY_RL,100,Burst Load,2,176,766.981,410.535,24.886,1784.000,468,8,,5522.122271,662505.748260
DynaCol-RL,COLONY_RL,100,Burst Load,3,193,775.870,409.481,25.470,1784.000,468,8,,5037.927834,559892.444353
DynaCol-RL,COLONY_RL,100,Burst Load,4,210,790.008,413.500,24.505,1745.333,461,7,,3748.609604,761499.960000
DynaCol-RL,COLONY_RL,100,Burst Load,5,227,724.420,387.868,21.140,1784.000,468,8,,5139.866736,667433.831273
DynaCol-RL,COLONY_RL,100,Churn,1,159,781.142,407.119,20.029,1753.333,463,7,,3434.650233,667251.960000
DynaCol-RL,COLONY_RL,100,Churn,2,176,760.236,404.191,21.384,1784.000,468,8,,5297.904496,567527.345380
DynaCol-RL,COLONY_RL,100,Churn,3,193,772.420,405.525,21.971,1797.333,471,8,,4832.842038,487793.571719
DynaCol-RL,COLONY_RL,100,Churn,4,210,783.412,410.683,21.319,1753.333,463,7,,3609.806860,667265.400000
DynaCol-RL,COLONY_RL,100,Churn,5,227,717.420,393.020,18.383,1784.000,468,8,,5075.135466,559916.698817
DynaCol-RL,COLONY_RL,300,Normal Load,1,359,847.293,461.962,2.892,1796.324,1452,21,,6796.169228,1214389.534398
DynaCol-RL,COLONY_RL,300,Normal Load,2,376,886.110,473.907,4.220,1796.324,1452,21,,4322.188995,1103984.723683
DynaCol-RL,COLONY_RL,300,Normal Load,3,393,953.530,484.230,6.340,1783.784,1445,20,,5191.989473,1360249.400000
DynaCol-RL,COLONY_RL,300,Normal Load,4,410,847.420,458.145,2.344,1796.324,1452,21,,6487.778111,1210084.350603
DynaCol-RL,COLONY_RL,300,Normal Load,5,427,897.420,475.398,4.831,1796.324,1452,21,,4062.734837,1138566.962679
DynaCol-RL,COLONY_RL,300,Burst Load,1,359,857.420,464.835,15.456,1796.324,1452,21,,6965.281732,1588004.648572
DynaCol-RL,COLONY_RL,300,Burst Load,2,376,876.420,471.869,17.017,1796.324,1452,21,,4403.849924,1447546.481339
DynaCol-RL,COLONY_RL,300,Burst Load,3,393,952.660,487.414,18.277,1783.784,1445,20,,5347.245304,1707317.880000
DynaCol-RL,COLONY_RL,300,Burst Load,4,410,847.420,457.100,14.128,1796.324,1452,21,,6683.548916,1570100.659420
DynaCol-RL,COLONY_RL,300,Burst Load,5,427,884.420,476.096,17.641,1796.324,1452,21,,4200.951133,1482809.324688
DynaCol-RL,COLONY_RL,300,Churn,1,359,847.420,461.277,11.844,2153.081,1770,21,,6717.670014,1222106.376674
DynaCol-RL,COLONY_RL,300,Churn,2,376,884.420,474.435,14.589,2139.243,1760,22,,4330.370827,1119119.521339
DynaCol-RL,COLONY_RL,300,Churn,3,393,928.353,478.694,14.288,2153.514,1778,20,,5204.589478,1360253.880000
DynaCol-RL,COLONY_RL,300,Churn,4,410,846.930,456.004,11.313,2144.865,1763,21,,6557.205891,1227567.475358
DynaCol-RL,COLONY_RL,300,Churn,5,427,894.420,478.765,15.668,2138.378,1759,22,,4110.428657,1145928.364688
