method,policy,nodes,scenario,trial,seed,p95_ms,mean_loop_ms,sla_pct,overhead_norm,control_messages,colonies,variant,mean_energy_per_req,total_cost
DynaCol/DCBO,DYNACOL_DCBO,100,Normal Load,1,159,785.778,438.598,13.680,1745.333,461,7,,3353.892515,667256.440000
DynaCol/DCBO,DYNACOL_DCBO,100,Normal Load,2,176,721.705,396.849,7.816,1784.000,468,8,,5039.816001,589348.516028
DynaCol/DCBO,DYNACOL_DCBO,100,Normal Load,3,193,794.420,416.895,12.531,1784.000,468,8,,3361.076862,591747.966697
DynaCol/DCBO,DYNACOL_DCBO,100,Normal Load,4,210,793.427,439.289,13.825,1745.333,461,7,,3371.911279,667269.880000
DynaCol/DCBO,DYNACOL_DCBO,100,Normal Load,5,227,717.406,394.864,7.497,1784.000,468,8,,5189.843600,584018.705045
DynaCol/DCBO,DYNACOL_DCBO,100,Burst Load,1,159,789.761,439.890,28.581,1745.333,461,7,,3397.631021,761508.920000
DynaCol/DCBO,DYNACOL_DCBO,100,Burst Load,2,176,734.420,406.929,25.245,1784.000,468,8,,5263.178697,649466.881452
DynaCol/DCBO,DYNACOL_DCBO,100,Burst Load,3,193,801.390,421.462,27.744,1784.000,468,8,,3451.079632,691276.387944
DynaCol/DCBO,DYNACOL_DCBO,100,Burst Load,4,210,796.340,440.687,28.426,1745.333,461,7,,3383.340249,761508.920000
DynaCol/DCBO,DYNACOL_DCBO,100,Burst Load,5,227,737.965,398.535,23.202,1784.000,468,8,,5220.481195,676270.371853
DynaCol/DCBO,DYNACOL_DCBO,100,Churn,1,159,791.640,438.717,24.857,1753.333,463,7,,3367.087371,667269.880000
DynaCol/DCBO,DYNACOL_DCBO,100,Churn,2,176,722.420,399.617,19.937,1784.000,468,8,,4978.517340,611513.368371
DynaCol/DCBO,DYNACOL_DCBO,100,Churn,3,193,788.420,416.841,24.051,1797.333,471,8,,3339.615569,592389.686215
DynaCol/DCBO,DYNACOL_DCBO,100,Churn,4,210,797.999,438.651,24.784,1753.333,463,7,,3391.345926,667256.440000
DynaCol/DCBO,DYNACOL_DCBO,100,Churn,5,227,728.908,396.627,20.510,1784.000,468,8,,5108.180298,596011.439979
DynaCol/DCBO,DYNACOL_DCBO,300,Normal Load,1,359,844.420,454.690,2.063,1796.324,1452,21,,6209.529213,1218390.298349
DynaCol/DCBO,DYNACOL_DCBO,300,Normal Load,2,376,903.362,482.469,5.278,1796.324,1452,21,,3696.419092,1269573.887366
DynaCol/DCBO,DYNACOL_DCBO,300,Normal Load,3,393,957.040,492.427,6.389,1783.784,1445,20,,5320.802982,1360249.400000
DynaCol/DCBO,DYNACOL_DCBO,300,Normal Load,4,410,838.420,454.535,1.826,1796.324,1452,21,,6265.082788,1224446.785782
DynaCol/DCBO,DYNACOL_DCBO,300,Normal Load,5,427,902.420,481.422,5.075,1796.324,1452,21,,3681.349472,1268335.351347
DynaCol/DCBO,DYNACOL_DCBO,300,Burst Load,1,359,847.420,457.164,14.360,1796.324,1452,21,,6349.552334,1539194.002679
DynaCol/DCBO,DYNACOL_DCBO,300,Burst Load,2,376,906.420,481.726,18.285,1796.324,1452,21,,3810.281324,1613324.833691
DynaCol/DCBO,DYNACOL_DCBO,300,Burst Load,3,393,961.300,493.544,18.781,1783.784,1445,20,,5526.942304,1707304.440000
DynaCol/DCBO,DYNACOL_DCBO,300,Burst Load,4,410,845.050,460.520,14.449,1796.324,1452,21,,6388.739987,1548609.722679
DynaCol/DCBO,DYNACOL_DCBO,300,Burst Load,5,427,898.460,479.579,18.008,1796.324,1452,21,,3777.159110,1620876.317509
DynaCol/DCBO,DYNACOL_DCBO,300,Churn,1,359,839.420,455.667,10.936,2153.081,1770,21,,6233.216790,1238820.051183
DynaCol/DCBO,DYNACOL_DCBO,300,Churn,2,376,907.420,481.492,15.500,2139.243,1760,22,,3673.074120,1272304.634025
DynaCol/DCBO,DYNACOL_DCBO,300,Churn,3,393,939.952,488.555,15.205,2153.514,1778,20,,5296.983395,1360235.960000
DynaCol/DCBO,DYNACOL_DCBO,300,Churn,4,410,839.427,460.936,11.197,2144.865,1763,21,,6187.136392,1251562.864777
DynaCol/DCBO,DYNACOL_DCBO,300,Churn,5,427,902.770,482.930,15.845,2138.378,1759,22,,3661.316520,1273377.520722
